Point;Latitude;Longitude;Contexte;P̩riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;ATAV;ATXAV;ASD;ATX35;ATR;ATNFD;ATNCWD;ATXHWD;ARR;ARR1MM;APFL90;APQ99;AFFAV;AFF3;AFFQ98;AFF98;
565;41.57;8.8888;RCP4.5;H1;16.1;96;1.2;45;3;1;7;826;87.57;79.16;0.03;6.99;29.77;5.47;6.93;0.97;0.98;20;0.83;20;-1;0;6;40.67;0.6;0.15;1;0.01;1.2;0.04;-0.4;
566;41.564;8.984;RCP4.5;H1;15.87;89;1.67;44;4;0;9;856.7;88.5;79.13;0.03;7.23;30.88;5.48;7.07;1.02;1.04;19;1.14;19;-1;-1;7;42.49;0.7;0.17;1.06;0.02;1.3;0.04;-0.26;
567;41.5579;9.0791;RCP4.5;H1;14.83;73;3.27;43;6;0;16;1110.84;103.77;75.12;0.06;9.62;37.79;4.71;7.2;1.16;1.23;19;2.17;20;-2;-1;11;53.64;-0.43;0.37;1.24;0.01;0.3;0.05;-0.13;
568;41.5517;9.1743;RCP4.5;H1;16.37;105;6.43;52;8;2;11;803.29;87.63;80.39;0.06;6.37;29.83;8.49;8.13;1.11;1.1;20;4.43;22;-2;0;8;29.44;0.63;0.77;-0.12;0.04;-3.64;0.19;0.83;
569;41.5454;9.2694;RCP4.5;H1;16.8;115;7;54;9;3;9;762.77;85.47;80.56;0.06;6.01;28.32;9.15;8.33;1.1;1.05;20;4.83;22;-2;0;6;26.83;0.67;0.8;-0.21;0.04;-4.07;0.2;1.1;
707;41.6474;8.8014;RCP4.5;H1;16.44;108;2;43;3;0;4;792.36;87.4;79.06;0.06;6.5;29.18;5.57;7.27;0.91;0.9;19;1.67;16;-1;0;4;59.31;1.8;-0.07;2.92;0.01;-0.73;0.05;-0.06;
708;41.6415;8.8967;RCP4.5;H1;16;94;2.43;44;4;1;9;852.49;86.6;79.58;0.06;7.16;30.97;5.42;7.7;1.01;1.01;21;2.03;19;-1;1;8;55.66;-0.9;0.36;2.52;0.02;1.34;0.09;0.37;
709;41.6355;8.992;RCP4.5;H1;15.85;90;3.03;44;4;0;12;873.29;86.87;79.57;0.06;7.34;31.69;5.42;7.37;1.04;1.05;20;2.56;19;-1;-1;10;56.98;-1.06;0.4;2.57;0.01;0.96;0.06;0.07;
710;41.6294;9.0873;RCP4.5;H1;15.08;80;5.2;44;7;2;20;1106.5;102.07;76.49;0.06;8.96;39.97;4.68;7.4;1.17;1.23;22;4.13;20;0;2;13;62.8;-2.06;1.47;4.34;0;1.16;0.03;0.1;
711;41.6232;9.1826;RCP4.5;H1;15.01;79;5.17;44;7;2;21;1113.65;102.17;76.5;0.06;9.02;40.21;4.67;7.4;1.18;1.23;22;4.07;21;0;2;13;63.2;-2;1.5;4.35;0.01;1.04;0.03;0.03;
712;41.6169;9.2779;RCP4.5;H1;16.99;115;4.6;62;3;2;9;866.53;90.87;79.92;0.06;6.2;36.58;7.6;7.5;1.01;1.01;18;3.67;22;0;1;8;38.52;-1.56;1.54;3.27;0;-0.7;0.02;0.23;
849;41.7248;8.7138;RCP4.5;H1;16.47;109;1.97;43;3;0;4;789.44;87.33;79.04;0.06;6.47;29.06;5.6;7.23;0.91;0.89;19;1.6;16;-1;0;4;59.11;1.73;-0.1;2.89;0;-0.3;0.05;-0.1;
850;41.719;8.8093;RCP4.5;H1;16.45;109;2;44;3;0;4;791.27;87.3;79.04;0.06;6.49;29.13;5.58;7.33;0.91;0.9;20;1.67;17;-1;0;4;59.22;1.77;-0.09;2.9;0;-0.43;0.05;0;
851;41.713;8.9047;RCP4.5;H1;15.76;88;2.6;41;4;0;9;878.23;89.93;78.85;0.06;7.27;32.32;5.45;6.83;1.02;1.04;20;2.03;17;-1;0;7;65.13;1.66;-0.14;3.23;0;2.8;-0.01;-0.47;
852;41.707;9.0001;RCP4.5;H1;15.53;86;5.77;44;5;1;18;1060.16;101.67;76.02;0.1;9.02;37.58;4.78;6.7;1.11;1.15;20;4.54;19;-1;0;13;78.54;-1.3;1.1;4.07;0.01;-1.3;0.02;-0.6;
853;41.7009;9.0955;RCP4.5;H1;15.1;80;5.2;44;6;2;20;1104.35;101.97;76.5;0.06;8.94;39.9;4.68;7.37;1.17;1.22;22;4.13;20;-1;2;13;63.2;-2.3;1.49;4.34;0;1.13;0.02;0.04;
854;41.6946;9.1909;RCP4.5;H1;13.67;57;2;38;11;2;22;1212.88;105.4;76.25;0.06;9.92;43.79;5.28;7.6;1.21;1.26;20;1.73;19;-2;1;15;63.04;-2.17;1.56;4.48;0;0.67;0.02;0.27;
855;41.6884;9.2863;RCP4.5;H1;15.93;93;4.7;55;4;2;13;948.34;94.6;78.74;0.03;6.87;38.13;7.15;8.07;1.14;1.19;22;3.67;21;-1;1;9;14.61;-2.83;0.78;1.06;0.02;-1.47;0.15;0.84;
856;41.682;9.3817;RCP4.5;H1;17.18;119;4.57;64;3;2;6;833.36;89.57;79.46;0.03;5.84;34.29;7.65;6.9;1.03;1.01;19;3.6;23;0;1;4;15.06;-2.3;0.83;1.06;0;-0.07;0.03;-0.47;
992;41.7963;8.7216;RCP4.5;H1;16.38;106;1.97;43;3;0;4;799.29;87.83;79.02;0.06;6.56;29.43;5.54;7.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
993;41.7905;8.8171;RCP4.5;H1;15.46;82;2.57;40;5;0;10;907.7;90.5;78.77;0.06;7.49;33.36;5.34;6.9;1.04;1.08;19;2.07;17;-1;-1;8;67.32;1.63;-0.16;3.32;0;2.74;-0.01;-0.43;
994;41.7845;8.9127;RCP4.5;H1;16.08;98;4.03;46;3;0;10;988.55;101.3;75.16;0.13;8.18;34.66;4.95;7.03;1.03;1.07;20;2.96;17;-1;-1;8;65.74;0.8;0.26;3.12;0;0.8;-0.02;-0.34;
995;41.7785;9.0083;RCP4.5;H1;13.6;55;2.57;36;12;1;21;1222.86;104.83;75.82;0.1;10.42;43.53;5.25;7.47;1.18;1.22;18;2.2;17;-1;0;14;83.26;-2.94;1.2;4.83;0;0.53;0.08;0.1;
996;41.7724;9.1038;RCP4.5;H1;13.05;50;1.3;32;16;2;23;1452.12;111.27;74.93;0.06;11.62;52.59;5.64;7.63;1.17;1.22;20;1.17;17;-3;1;16;97.86;-3.26;1.86;7.14;0;1.43;0.05;0.33;
997;41.7661;9.1993;RCP4.5;H1;12.78;46;1;31;18;3;23;1471.46;113.53;74.54;0.06;11.72;53.16;5.77;7.37;1.17;1.22;19;0.9;17;-3;2;16;98.15;-3.77;1.9;7.37;0;1.57;0.05;0.04;
998;41.7598;9.2948;RCP4.5;H1;14.84;79;4.03;39;8;1;17;1254.56;109.17;74.29;0.06;10.02;44.83;4.59;7.87;1.18;1.25;22;3.46;18;-1;0;11;35.32;-3.2;1.26;3.41;0.01;-0.63;0.07;0.54;
999;41.7535;9.3902;RCP4.5;H1;16.91;114;4.63;61;3;2;7;858.33;91.23;79.26;0.03;6.06;35.24;7.5;7.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1134;41.8737;8.6336;RCP4.5;H1;16.61;112;2.03;47;4;1;3;777.19;85.77;79.41;0.06;6.49;28.28;5.64;7.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1135;41.8679;8.7294;RCP4.5;H1;16.57;112;1.93;44;3;0;4;788.24;86.53;79.58;0.06;6.55;28.89;5.66;7.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1136;41.862;8.8251;RCP4.5;H1;15.86;90;2.23;42;4;1;8;874.73;89.33;79.37;0.06;7.31;31.99;5.45;6.77;0.99;1;20;1.7;17;-1;1;7;75.01;1.13;0.36;3.02;0.01;-1.1;-0.01;-0.5;
1137;41.856;8.9207;RCP4.5;H1;14.93;76;3.9;41;6;1;15;1117.92;102.97;75.46;0.1;9.49;38.6;4.67;7;1.11;1.17;20;2.87;18;-1;1;10;85.57;-1.13;0.6;3.46;0;-1;-0.01;-0.33;
1138;41.85;9.0164;RCP4.5;H1;15.19;80;5.8;43;5;1;20;1105.64;102.53;76.4;0.1;9.29;38.96;4.77;7.87;1.11;1.16;19;4.7;19;-1;0;14;86.47;-0.97;1.27;4.14;0;-1.1;0.08;0.54;
1139;41.8439;9.112;RCP4.5;H1;11.13;25;0.33;19;28;2;22;1590.06;114.3;74.71;0.06;12.93;55.66;6.75;6.6;1.23;1.27;14;0.33;11;-11;0;18;105.57;-4.03;2.15;6.07;-0.01;1.87;-0.06;-0.7;
1140;41.8376;9.2077;RCP4.5;H1;9.47;9;0;8;47;3;19;1693.57;116.83;74.38;0.06;13.91;59.59;7.57;6.47;1.19;1.22;7;0;6;-12;1;16;90.57;-4.14;2.33;7.56;-0.01;0.16;-0.02;-0.86;
1141;41.8313;9.3033;RCP4.5;H1;15.28;81;3.03;52;4;2;18;1010.86;96.83;78.72;0.06;7.23;41.5;6.3;7.27;1.16;1.23;22;2.5;21;-1;1;14;20.89;-3.6;0.71;3.75;0;-0.66;-0.07;-0.03;
1142;41.8249;9.3988;RCP4.5;H1;16.97;112;1.47;69;0;1;5;839.54;77.37;85.26;0.03;5.06;41.14;5.66;7.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1276;41.9509;8.5455;RCP4.5;H1;16.61;112;2.03;47;4;1;3;777.19;85.77;79.41;0.06;6.49;28.28;5.64;7.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1277;41.9452;8.6413;RCP4.5;H1;16.12;97;1.63;46;4;1;4;834.32;87.33;79.28;0.06;6.98;30.37;5.4;7.37;0.99;0.98;21;1.3;20;0;1;4;67.03;-0.3;0.69;2.44;0;2.14;-0.02;0.04;
1278;41.9394;8.7372;RCP4.5;H1;16.16;98;1.63;46;4;1;4;829.22;87.4;79.28;0.06;6.94;30.19;5.41;7.5;0.99;0.97;21;1.33;20;0;1;4;66.81;0;0.69;2.43;0.01;1.5;-0.02;0.1;
1279;41.9335;8.833;RCP4.5;H1;16.2;99;2.5;43;3;1;6;838.16;86.87;79.8;0.1;6.69;31.03;5.45;7.27;0.95;0.92;19;2.23;17;-1;1;6;80.31;-0.23;0.9;3.38;-0.01;1.07;0.05;-0.06;
1280;41.9276;8.9288;RCP4.5;H1;15;73;3.47;39;5;1;18;966.36;89.63;79.68;0.13;7.79;35.33;5.13;7.73;1.09;1.1;19;2.97;18;-2;0;13;79.08;0.46;0.43;3.36;0;-1.47;0.1;0.43;
1281;41.9215;9.0246;RCP4.5;H1;12.61;42;1.03;31;19;1;22;1298.61;109.2;75.59;0.1;11.02;45;5.84;7.93;1.17;1.21;17;0.93;16;-3;0;16;92.96;-2.1;1.45;4.2;0.01;0.47;0.12;0.53;
1282;41.9154;9.1203;RCP4.5;H1;13.34;53;1.2;33;13;1;24;1432.77;111.9;74.75;0.06;11.55;49.97;5.46;7.67;1.23;1.29;20;1.03;18;-4;0;18;103.84;-2.5;1.88;5.45;0;1.36;0.02;0.4;
1283;41.9091;9.216;RCP4.5;H1;10.46;18;0.1;6;37;2;21;1259.5;111.53;75.39;0.06;9.86;45.08;7.01;6.9;1.17;1.22;10;0.1;5;-12;1;17;89.14;-2.3;2.3;5.07;-0.01;2.37;-0.05;-0.43;
1284;41.9028;9.3118;RCP4.5;H1;15.2;82;1.7;49;6;2;14;976.69;80.27;85.16;0.03;5.97;47.5;5.09;7.3;1.11;1.16;21;1.47;20;-1;1;10;11.9;-2.73;0.4;3.09;0;-1.1;0.06;0.03;
1285;41.8964;9.4075;RCP4.5;H1;17.27;115;1.47;73;0;0;5;817.42;76.63;85.32;0.03;4.9;40.13;5.75;7.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1420;42.0168;8.649;RCP4.5;H1;16.51;110;1.93;47;4;1;3;788.46;86.3;79.38;0.06;6.59;28.68;5.57;7.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1421;42.011;8.745;RCP4.5;H1;15.89;90;2.2;45;4;1;8;866.32;88.1;79.26;0.06;7.25;31.5;5.4;6.87;1.05;1.04;20;1.63;20;-1;1;7;69.45;-0.17;0.69;2.52;0;1.47;-0.01;-0.46;
1422;42.0051;8.8409;RCP4.5;H1;15.72;87;3.5;41;4;1;12;900.97;89;79.68;0.1;7.23;33.3;5.5;7.8;1.03;1.03;20;3.07;17;-1;1;10;85.3;0.33;0.81;3.51;-0.01;0.66;0.04;0.4;
1423;41.9991;8.9368;RCP4.5;H1;13.98;61;2.8;38;10;1;23;1201.83;105.47;75.72;0.13;9.9;41.65;5.12;8.03;1.16;1.19;19;2.37;18;-1;0;17;86.21;-1.73;1.03;3.7;0.01;-1.4;0.18;0.7;
1424;41.993;9.0327;RCP4.5;H1;12.66;42;0.8;32;18;2;22;1289.25;108.5;75.33;0.13;10.69;44.11;5.86;7.9;1.18;1.19;17;0.7;17;-4;1;16;84.24;-2.53;1.16;3.6;0;-1.2;0.18;0.5;
1425;41.9869;9.1286;RCP4.5;H1;10.15;14;0;12;39;2;21;1653.84;120.13;73.11;0.03;13.57;57.61;7.1;6.63;1.22;1.24;10;0;8;-12;1;17;102.09;-2.9;1.91;7.51;-0.01;0.43;-0.08;-0.67;
1426;41.9806;9.2245;RCP4.5;H1;10.8;22;0.07;8;34;2;21;1235.81;109.67;75.44;0.03;9.78;43.7;6.93;7;1.19;1.21;12;0.07;6;-12;1;16;87.84;-1.63;1.8;5.29;-0.01;2.36;-0.05;-0.37;
1427;41.9743;9.3203;RCP4.5;H1;15.44;86;1.73;50;5;1;12;948.07;80.7;84.67;0.03;5.89;44.65;5.18;7.53;1.09;1.15;21;1.53;20;-1;1;8;6.09;-1.87;0.06;1.61;0.01;-0.97;0.04;0.2;
1428;41.9679;9.4161;RCP4.5;H1;17.33;116;1.5;74;0;0;4;804.49;76.77;84.73;0.03;4.96;37.94;5.8;6.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1562;42.0941;8.5607;RCP4.5;H1;16.57;112;2.9;45;3;1;4;790.7;86.2;80.16;0.13;6.17;29.16;5.4;5.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1563;42.0883;8.6568;RCP4.5;H1;16.55;111;2.83;45;3;1;4;792.98;86.3;80.12;0.13;6.19;29.24;5.39;5.73;0.91;0.88;19;2.4;19;-1;1;4;75.32;0.4;1.26;2.59;-0.03;0.93;-0.31;-1.6;
1564;42.0825;8.7528;RCP4.5;H1;16.14;98;2.37;42;4;1;7;832.63;85.57;79.55;0.13;6.88;30.07;5.38;7.37;0.95;0.92;20;2.1;15;-1;1;7;67.22;-1.7;0.61;2.36;-0.02;0.94;-0.04;0;
1565;42.0766;8.8489;RCP4.5;H1;15.09;78;5.13;42;6;1;18;1089.4;101.03;75.47;0.16;9.19;37.19;4.67;7.5;1.1;1.13;19;4.06;18;-1;1;13;73.79;-2.64;0.82;3.15;-0.01;0.83;-0.02;0.17;
1566;42.0706;8.9449;RCP4.5;H1;15.04;79;5.77;43;6;2;21;1107.23;101.97;75.79;0.13;9.06;38.9;4.82;7.83;1.12;1.17;20;4.8;20;-1;1;15;75.78;-1.9;0.85;3.97;0;-1;0.19;0.43;
1567;42.0646;9.0409;RCP4.5;H1;12.85;46;0.83;31;17;2;22;1438.97;113.97;73.77;0.13;11.88;49.23;5.84;7.67;1.15;1.18;18;0.83;17;-4;1;16;87.19;-2.3;1.03;4.52;0.01;-2.03;0.19;0.34;
1568;42.0584;9.1369;RCP4.5;H1;8.31;3;0;2;64;3;18;1391.57;117.33;73.21;0.03;11.04;47.85;7.71;7.33;1.18;1.19;3;0;2;-17;2;14;75.85;-4.97;1.81;5.29;-0.01;2.53;-0.08;0;
1569;42.0522;9.2329;RCP4.5;H1;11.08;26;0.13;10;35;2;16;1191.81;107.27;75.04;0.1;9.43;43.31;6.63;6.93;1.16;1.19;14;0.13;8;-8;0;11;43.39;-5.5;1.27;4;-0.01;1.67;-0.04;-0.4;
1570;42.0458;9.3288;RCP4.5;H1;16.15;101;2.83;55;3;1;8;902.48;79.43;84.88;0.03;5.66;41.98;5.39;7.3;1.03;1.07;22;2.53;20;-1;0;6;19.21;-1.64;0.31;0.36;0.01;-2.36;0.01;0;
1571;42.0394;9.4248;RCP4.5;H1;17.25;112;1.67;75;0;0;1;849.54;78.27;85.94;0.03;4.94;40.88;5.98;8.37;0.92;0.9;17;1.57;21;0;0;1;63.85;-0.86;1.4;3.94;0.04;-3;0.21;1.04;
1572;42.0329;9.5207;RCP4.5;H1;17.37;114;1.77;76;0;0;1;840.17;77.93;85.95;0.03;4.89;40.43;6.03;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1637;42.3488;1.9977;RCP4.5;H1;7.25;6;0;0;93;2;26;795.34;98.23;75.02;0.06;6.12;30.01;6.65;6.4;1.29;1.34;5;0;0;-23;-1;21;16.11;-4.14;2.52;4.61;-0.03;1.63;-0.21;-0.93;
1638;42.349;2.0945;RCP4.5;H1;6.57;3;0;0;105;2;24;815.49;101.5;73.85;0.06;6.42;29.97;6.76;6.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1641;42.3493;2.385;RCP4.5;H1;10.2;21;0.03;5;43;2;22;1377.66;112.3;77.24;0.06;9.9;55.13;5.83;6.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1642;42.3492;2.4818;RCP4.5;H1;11.47;34;0.47;9;29;2;22;1266.08;105.13;78.17;0.06;9.56;49.41;5.11;6.4;1.1;1.18;15;0.47;6;-9;0;17;74.69;-3.07;1.98;3.25;-0.01;2;-0.08;-0.93;
1643;42.349;2.5786;RCP4.5;H1;12.19;43;1.2;13;24;2;19;1208.8;102.4;78.33;0.06;8.88;48.73;4.85;7;1.09;1.16;17;1.2;9;-6;0;15;66.71;-3.57;1.95;3.87;0;-0.46;-0.04;-0.3;
1644;42.3488;2.6754;RCP4.5;H1;13.43;59;1.6;20;15;2;18;1112.84;101.4;78.11;0.06;8.15;44.09;4.97;6.77;1.05;1.12;19;1.53;12;-4;1;14;62.7;-2.93;1.93;3.02;0;0.1;-0.07;-0.6;
1705;42.1656;8.5683;RCP4.5;H1;16.48;109;2.77;45;3;1;5;800.93;86.8;80.12;0.13;6.25;29.53;5.33;5.67;0.91;0.88;19;2.37;19;-1;1;5;75.89;0.57;1.31;2.62;-0.03;0.77;-0.32;-1.63;
1706;42.1599;8.6645;RCP4.5;H1;15.5;83;3.67;42;5;1;11;918.78;89.73;79.85;0.13;7.22;33.85;5.16;5.5;1.05;1.06;19;3.27;19;-1;1;8;84.81;0.43;1.32;3.04;-0.02;2;-0.27;-1.83;
1707;42.1541;8.7607;RCP4.5;H1;15.46;85;4.97;45;5;1;15;1063.95;103.4;75.97;0.13;8.57;37.51;4.64;5.5;1.07;1.11;19;3.77;20;-1;1;11;85.89;0.13;1.55;3.84;-0.02;0.93;-0.19;-1.8;
1708;42.1482;8.8569;RCP4.5;H1;14.61;71;6.27;41;7;2;23;1163.11;103.67;76.27;0.13;9.38;40.9;4.79;8.3;1.14;1.19;20;5.37;19;-1;1;17;101.62;-1.66;1.69;4.11;0;-2.26;0.15;1.03;
1709;42.1422;8.953;RCP4.5;H1;13.53;56;1.57;33;12;2;22;1381.53;112.37;73.92;0.13;11.39;47.39;5.39;7.83;1.13;1.17;18;1.4;16;-4;1;16;83.71;-2.7;1.1;4.39;0;-2.5;0.2;0.56;
1710;42.1361;9.0491;RCP4.5;H1;10.23;18;0;6;43;2;17;1243.64;112.47;74.04;0.13;9.96;43.41;7.18;8.13;1.08;1.1;11;0;5;-7;0;12;74.12;-3.73;1.46;4.69;0.01;-1.86;0.16;0.83;
1711;42.1299;9.1452;RCP4.5;H1;10.42;18;0.07;7;38;2;20;1265.01;110.07;74.72;0.03;10.08;44.22;7.01;7.03;1.19;1.2;11;0.07;6;-12;1;15;86.46;-4.5;1.7;4.83;-0.02;4.07;0;-0.3;
1712;42.1237;9.2413;RCP4.5;H1;12.72;52;0.77;17;26;2;18;1087.76;102.97;75.2;0.1;8.6;39.49;5.77;6.8;1.19;1.22;20;0.74;11;-6;0;13;42.32;-4.83;1.12;3.8;-0.01;1.03;0.01;-0.5;
1713;42.1173;9.3374;RCP4.5;H1;15.79;93;2.97;51;5;1;10;931.97;79.97;84.87;0.03;5.9;43.35;5.28;7.23;1.07;1.12;20;2.64;20;0;0;8;19.66;-1.73;0.29;0.35;0;-2.17;0.01;-0.17;
1714;42.1109;9.4334;RCP4.5;H1;17.1;111;1.7;73;0;0;1;860.62;78.37;85.93;0.03;5.01;41.36;5.9;8.27;0.94;0.92;18;1.63;22;0;0;1;64.32;-0.9;1.4;4.09;0.04;-2.53;0.2;0.87;
1715;42.1044;9.5295;RCP4.5;H1;17.36;114;1.73;76;0;0;1;841.39;78.03;85.94;0.03;4.89;40.5;6.02;8.37;0.93;0.89;17;1.63;20;0;0;1;63.37;-1;1.39;3.93;0.04;-2.9;0.19;1.07;
1779;42.4202;1.9004;RCP4.5;H1;11.2;50;0.93;7;44;2;32;731.26;95.97;75.82;0.06;5.48;24.63;5.93;6.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1780;42.4206;1.9973;RCP4.5;H1;9.61;29;0.27;3;60;2;31;750.37;96.8;75.79;0.03;5.59;27.47;6.35;6.47;1.28;1.37;15;0.27;3;-23;1;24;40.42;-3.3;3.13;4.8;0;-0.2;-0.15;-0.9;
1781;42.4208;2.0942;RCP4.5;H1;5.29;1;0;0;123;3;24;903.63;103.37;74.98;0.03;6.91;32.2;7.34;6.27;1.24;1.25;1;0;0;-24;-2;19;51.45;-4;3.1;4.99;0;-0.07;-0.2;-1.06;
1782;42.421;2.1912;RCP4.5;H1;3.57;0;0;0;154;3;16;1158.8;102.17;79.03;0;8.21;46.53;7.6;6.43;1;1.05;0;0;0;-19;0;14;29.75;-4.1;2.06;2.4;-0.04;-0.1;-0.27;-0.9;
1783;42.4211;2.2881;RCP4.5;H1;4.9;0;0;0;130;2;18;1120.33;103.67;77.91;0.03;8;43.59;7.24;6.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1784;42.4211;2.3851;RCP4.5;H1;7.59;3;0;1;80;2;20;1476.53;113.07;76.62;0;11.62;55.67;6.97;6.67;1.07;1.12;3;0;1;-17;-1;15;48.87;-3.06;1.66;2.28;-0.05;3.73;-0.16;-0.63;
1785;42.421;2.482;RCP4.5;H1;11.11;28;0.07;7;31;2;20;1352.21;109.57;77.43;0.03;9.75;53.71;5.21;6.63;1.09;1.14;12;0.07;5;-12;1;15;121.55;0.64;0.92;6.71;-0.05;3.87;-0.13;-0.7;
1786;42.4209;2.5789;RCP4.5;H1;13.25;56;1.4;17;16;2;17;1168.45;104.63;77.64;0.06;8.64;46.34;4.88;6.47;1.01;1.07;17;1.37;10;-4;0;13;96.97;-0.47;1.35;5.06;-0.02;0.96;-0.18;-0.83;
1787;42.4206;2.6759;RCP4.5;H1;12.52;46;1.17;13;21;2;18;1226.74;105.5;77.67;0.06;9.12;48.72;4.76;6.43;1.03;1.09;15;1.17;8;-6;0;13;102.75;-0.57;1.27;5.46;-0.02;1.07;-0.14;-0.9;
1788;42.4202;2.7728;RCP4.5;H1;13.58;59;1.87;21;13;2;17;1120.54;100.87;78.47;0.03;8.36;44.61;5.07;7.2;1.07;1.11;16;1.8;13;-5;1;13;77.66;-2.9;2.28;4.69;0.01;-1;-0.02;-0.07;
1789;42.4198;2.8697;RCP4.5;H1;15.34;85;3.13;38;7;2;14;837.7;74.87;86.29;0.03;4.91;39.91;8.85;7.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1791;42.4186;3.0636;RCP4.5;H1;15.57;63;0.8;56;3;1;5;883.03;69.07;89.91;0.03;4.73;44.89;12.99;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1792;42.4179;3.1605;RCP4.5;H1;16.64;75;0.53;74;1;1;2;813.67;66.8;89.86;0.03;4.33;40.71;15.68;6.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1848;42.2372;8.576;RCP4.5;H1;16.31;104;2.7;44;3;1;5;820.46;87.47;80.08;0.13;6.42;30.27;5.24;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1849;42.2315;8.6723;RCP4.5;H1;14.71;68;3.73;38;6;1;14;984.73;90.93;79.81;0.13;7.8;36.32;4.75;5.4;1.08;1.13;19;3.1;19;-1;1;10;89.77;0.46;1.22;3.3;-0.02;1.4;-0.26;-1.93;
1850;42.2256;8.7686;RCP4.5;H1;14.08;62;3.77;38;9;2;22;1200.64;105.6;76.07;0.13;9.71;42.17;5.04;8.43;1.14;1.2;20;3.2;18;-1;1;16;103.04;-1.6;1.7;4.19;0.01;-1.5;0.16;1.1;
