#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : RÃ©fÃ©rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORSD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35Â°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#     NORTNFD : Nombre de jours de gel (jour(s))
#     NORTNCWD : Nombre de jours d'une vague de froid (jour(s))
#     NORTXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     NORRR : Cumul de prÃ©cipitation (mm)
#     NORRR1MM : Nombre de jours de pluie (jour(s))
#     NORPFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     NORTPSPI : Temps passÃ© en sÃ©cheresse mÃ©tÃ©orologique
#     NORPQ90 : prÃ©cipitations intenses (Q90) (mm)
#     NORPQ99 : prÃ©cipitations extrÃªmes (Q99) (mm)
#     NORFFQ98 : vent fort (Q98) (m/s)
#     NORFF98 : nombre de jours de vent fort (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORTAV;NORSD;NORTX35;NORTR;NORTNFD;NORTNCWD;NORTXHWD;NORRR;NORRR1MM;NORPFL90;NORTPSPI;NORPQ90;NORPQ99;NORFFQ98;NORFF98;
#-----------------------------------------------------------------------------
1422;42.0051;8.8409;REF;REF;14.69;67;0.43;24;5;0;2;815.67;88.67;78.87;0.03;6.74;29.79;5.46;7.4;
1423;41.9991;8.9368;REF;REF;12.82;42;0.43;20;11;1;6;1115.62;107.2;74.69;0.03;9.07;37.95;4.94;7.33;
1424;41.993;9.0327;REF;REF;11.48;25;0.1;15;22;1;6;1205.01;111.03;74.17;0.03;9.98;40.51;5.68;7.4;
1425;41.9869;9.1286;REF;REF;8.93;4;0;4;51;1;4;1551.75;123.03;71.2;0.03;12.93;50.1;7.18;7.3;
1426;41.9806;9.2245;REF;REF;9.61;10;0;2;46;1;5;1147.97;111.3;73.64;0.03;9.3;38.41;6.98;7.37;
1427;41.9743;9.3203;REF;REF;14.35;65;0.2;30;6;0;4;941.98;82.57;84.61;0.07;5.69;43.04;5.14;7.33;
1428;41.9679;9.4161;REF;REF;16.4;97;0.07;55;0;0;0;797.68;79;84.63;0.1;4.79;36.56;5.81;7.33;
1562;42.0941;8.5607;REF;REF;15.66;93;0.43;26;4;0;0;715.53;85.73;78.84;0.03;5.89;26.57;5.71;7.33;
1563;42.0883;8.6568;REF;REF;15.64;92;0.43;26;4;0;0;717.66;85.9;78.86;0.03;5.9;26.65;5.7;7.33;
1564;42.0825;8.7528;REF;REF;15.19;78;0.27;27;5;0;0;765.41;87.27;78.94;0.03;6.21;27.71;5.42;7.37;
1565;42.0766;8.8489;REF;REF;13.99;59;1.07;24;7;0;5;1015.61;103.67;74.65;0.03;8.56;34.04;4.69;7.33;
1566;42.0706;8.9449;REF;REF;13.92;59;0.97;23;7;1;6;1031.45;103.87;74.94;0.03;8.51;34.93;4.63;7.4;
1567;42.0646;9.0409;REF;REF;11.7;28;0;14;21;1;6;1351.78;116.27;72.74;0.07;11.29;44.71;5.65;7.33;
1568;42.0584;9.1369;REF;REF;7.13;0;0;0;81;1;4;1315.72;122.3;71.4;0.03;10.66;42.56;7.79;7.33;
1569;42.0522;9.2329;REF;REF;9.92;12;0;2;43;2;5;1148.42;112.77;73.77;0.1;9.15;39.31;6.67;7.33;
1570;42.0458;9.3288;REF;REF;15.12;79;0.3;35;4;1;2;883.27;81.07;84.57;0.1;5.46;41.62;5.38;7.3;
1571;42.0394;9.4248;REF;REF;16.33;95;0.1;54;0;0;0;785.69;79.13;84.54;0.03;4.85;36.94;5.77;7.33;
1572;42.0329;9.5207;REF;REF;16.45;97;0.1;56;0;0;0;777.1;79.03;84.53;0.03;4.79;36.52;5.84;7.3;
1637;42.3488;1.9977;REF;REF;5.96;1;0;0;116;3;5;779.23;102.37;72.5;0.1;6.44;25.4;6.86;7.33;
1638;42.349;2.0945;REF;REF;5.29;0;0;0;127;4;5;801.58;106.03;71.45;0.1;6.53;25.65;7;7.33;
1641;42.3493;2.385;REF;REF;9.07;9;0;1;55;3;5;1272.11;113.13;75.1;0.07;9.84;47.42;5.98;7.37;
1642;42.3492;2.4818;REF;REF;10.37;19;0;3;38;2;5;1191.39;108.2;76.19;0.07;9.01;46.16;5.19;7.33;
1643;42.349;2.5786;REF;REF;11.1;26;0;4;30;2;4;1142.09;105.97;76.38;0.07;8.58;44.86;4.89;7.3;
1644;42.3488;2.6754;REF;REF;12.38;40;0.07;8;19;1;4;1050.14;104.33;76.18;0.07;7.87;41.07;5.04;7.37;
1705;42.1656;8.5683;REF;REF;15.57;90;0.4;26;4;0;0;725.04;86.23;78.81;0.03;5.96;26.91;5.65;7.3;
1706;42.1599;8.6645;REF;REF;14.45;64;0.4;23;6;0;3;833.97;89.3;78.53;0.03;6.87;30.81;5.43;7.33;
1707;42.1541;8.7607;REF;REF;14.39;66;1.2;25;6;0;4;978.06;103.27;74.42;0.03;8.14;33.67;4.83;7.3;
1708;42.1482;8.8569;REF;REF;13.47;51;0.9;22;8;1;6;1061.49;105.33;74.58;0.03;8.8;36.79;4.64;7.27;
1709;42.1422;8.953;REF;REF;12.4;38;0.17;17;16;1;6;1297.82;115.07;72.82;0.07;10.79;43;5.19;7.27;
1710;42.1361;9.0491;REF;REF;9.15;7;0;1;50;2;5;1169.52;116.2;72.58;0.03;9.4;38.72;7.02;7.3;
1711;42.1299;9.1452;REF;REF;9.23;7;0;1;50;1;5;1178.55;114.57;73.02;0.03;9.61;39.39;7.01;7.33;
1712;42.1237;9.2413;REF;REF;11.53;32;0.03;6;32;2;5;1045.44;107.8;74.08;0.1;8.36;35.69;5.76;7.3;
1713;42.1173;9.3374;REF;REF;14.72;73;0.33;31;5;1;2;912.31;81.7;84.58;0.1;5.63;43;5.27;7.4;
1714;42.1109;9.4334;REF;REF;16.16;93;0.07;51;0;0;0;796.3;79.27;84.53;0.03;4.92;37.27;5.7;7.4;
1715;42.1044;9.5295;REF;REF;16.43;97;0.1;56;0;0;0;778.02;79.03;84.55;0.03;4.8;36.57;5.83;7.3;
1779;42.4202;1.9004;REF;REF;9.86;31;0.03;1;63;3;10;675.96;96.03;73.46;0.1;5.46;21.89;6.06;7.3;
1780;42.4206;1.9973;REF;REF;8.33;14;0;0;83;1;7;709.95;100.1;72.66;0.1;5.78;22.67;6.5;7.37;
1781;42.4208;2.0942;REF;REF;4.05;0;0;0;147;5;5;852.18;107.37;71.88;0.1;7.01;27.21;7.54;7.33;
1782;42.421;2.1912;REF;REF;2.57;0;0;0;173;3;2;1129.05;106.27;76.97;0.1;8.47;44.13;7.87;7.33;
1783;42.4211;2.2881;REF;REF;3.83;0;0;0;149;4;3;1070.36;106.9;76.28;0.07;7.93;40.65;7.48;7.23;
1784;42.4211;2.3851;REF;REF;6.52;0;0;0;97;3;5;1427.66;116.13;74.96;0.07;10.96;53.39;7.13;7.3;
1785;42.421;2.482;REF;REF;10.02;16;0;2;43;1;5;1230.66;108.93;76.51;0.07;9.08;47;5.34;7.33;
1786;42.4209;2.5789;REF;REF;12.24;39;0.03;7;20;2;4;1071.48;105.1;76.29;0.07;8;41.28;5.06;7.3;
1787;42.4206;2.6759;REF;REF;11.49;31;0;5;27;2;5;1123.99;106.07;76.4;0.07;8.43;43.26;4.9;7.33;
1788;42.4202;2.7728;REF;REF;12.51;43;0.07;8;18;1;4;1042.88;103.77;76.19;0.07;7.95;39.92;5.09;7.27;
1789;42.4198;2.8697;REF;REF;14.33;66;0.47;21;8;0;3;754.92;76.87;84.73;0.03;4.59;35.95;8.92;7.3;
1791;42.4186;3.0636;REF;REF;14.6;47;0.17;39;4;0;0;796.65;68.37;88.97;0;4.53;40.22;12.96;7.37;
1792;42.4179;3.1605;REF;REF;15.75;58;0.03;56;1;0;0;728.53;66.43;88.85;0;4.15;36.44;15.74;7.33;
1848;42.2372;8.576;REF;REF;15.39;84;0.27;26;4;0;0;743.02;86.83;78.78;0.03;6.13;27.58;5.54;7.33;
1849;42.2315;8.6723;REF;REF;13.63;49;0.63;19;7;0;4;894.96;90.47;78.59;0.03;7.39;33.02;5.01;7.33;
1850;42.2256;8.7686;REF;REF;12.94;42;0.57;20;10;1;6;1097.6;107.2;74.37;0.03;9.08;37.98;4.88;7.33;
1851;42.2197;8.8649;REF;REF;11.38;24;0.13;15;23;2;6;1197.43;111.4;73.61;0.03;10.05;41.01;5.71;7.33;
1852;42.2137;8.9611;REF;REF;8.16;2;0;0;65;1;4;1225.37;117.03;72.39;0.1;9.86;40.6;7.26;7.33;
1853;42.2076;9.0574;REF;REF;6.48;0;0;0;93;2;4;1324.89;121.63;71.61;0.1;10.82;42.69;8.08;7.3;
1854;42.2015;9.1536;REF;REF;10.75;21;0;4;36;2;6;1095.88;110.8;74.01;0.07;8.73;36.95;6.28;7.3;
1855;42.1952;9.2498;REF;REF;13.2;61;0.5;11;24;2;7;800.75;89.17;79.11;0.1;5.8;32.97;5.21;7.37;
1856;42.1889;9.346;REF;REF;14.54;69;0.27;30;6;1;3;919.79;82.13;84.52;0.1;5.79;43.68;5.16;7.33;
1857;42.1824;9.4421;REF;REF;15.77;82;0.07;45;1;0;0;857.82;83.17;83.75;0.03;5.44;39.32;5.98;7.33;
1858;42.1759;9.5383;REF;REF;16.37;86;0.07;57;0;0;0;823.82;81.83;83.82;0.03;5.25;37.89;6.45;7.33;
1918;42.4897;1.5116;REF;REF;7.1;7;0;0;107;2;7;959.01;116.43;69.12;0.07;8.04;29.86;6.36;7.33;
1919;42.4905;1.6087;REF;REF;3.06;0;0;0;168;4;4;1135.92;123.47;68.48;0.07;9.5;34.69;7.68;7.37;
1920;42.4911;1.7057;REF;REF;2.24;0;0;0;185;3;2;1166.03;124.47;68.39;0.1;9.8;34.88;8.04;7.33;
1921;42.4916;1.8028;REF;REF;3.82;0;0;0;156;4;3;951.56;123.53;67.17;0.07;7.98;28.37;7.49;7.3;
1922;42.4921;1.8998;REF;REF;6.11;2;0;0;115;3;4;768.83;101.73;72.18;0.07;6.53;24.87;6.89;7.33;
1923;42.4924;1.9969;REF;REF;7.25;6;0;0;99;3;8;739.38;101.6;72.31;0.07;6.15;24.12;6.73;7.4;
1924;42.4927;2.0939;REF;REF;6.5;3;0;0;109;4;5;768.29;102.8;72.44;0.07;6.34;25.26;6.77;7.4;
1925;42.4929;2.191;REF;REF;6.28;1;0;0;108;4;4;941.96;103.53;75.6;0.03;7.06;34.57;6.82;7.37;
1926;42.4929;2.2881;REF;REF;6.2;1;0;0;109;4;6;945.56;103.87;75.8;0.07;7.04;36.46;6.89;7.4;
1927;42.4929;2.3851;REF;REF;6.7;2;0;0;102;4;6;922.15;104.6;75.25;0.07;6.94;34.5;6.8;7.33;
1928;42.4929;2.4822;REF;REF;4.93;0;0;0;125;3;4;1560.94;118.4;75.29;0.07;11.75;58.96;7.43;7.33;
1929;42.4927;2.5792;REF;REF;10.75;23;0;3;34;3;5;1176.8;107.77;76.29;0.07;8.74;44.92;5.05;7.4;
1930;42.4924;2.6763;REF;REF;13.91;61;0.3;17;10;1;4;957.58;101.83;76.25;0.03;7.18;36.45;6.3;7.4;
1931;42.4921;2.7733;REF;REF;14.62;70;0.53;24;8;1;3;745.86;76.9;84.72;0.07;4.54;35.48;8.91;7.33;
1932;42.4916;2.8704;REF;REF;13.98;60;0.43;19;9;1;3;786.63;77.83;84.98;0.07;4.67;36.72;8.05;7.33;
1933;42.4911;2.9674;REF;REF;12.85;30;0;20;10;1;2;904.38;70.4;89;0.07;4.96;45.01;8.84;7.27;
1934;42.4905;3.0645;REF;REF;14.53;46;0.17;38;4;0;0;800.33;68.47;88.96;0;4.56;40.39;12.79;7.33;
1935;42.4898;3.1615;REF;REF;16.07;63;0.07;61;0;0;0;709.03;65.6;88.89;0;4.04;35.52;16.62;7.33;
1991;42.3088;8.5836;REF;REF;15.59;90;0.37;27;4;0;0;726.96;85.53;79.01;0.07;5.95;26.26;5.61;7.33;
1992;42.303;8.6801;REF;REF;14.94;72;0.37;26;5;0;1;792.66;87.63;78.86;0.07;6.52;28.67;5.41;7.33;
1993;42.2972;8.7765;REF;REF;11.04;24;0;5;35;2;5;1046.75;108.87;73.39;0.07;8.8;35.08;6.14;7.4;
1994;42.2913;8.8729;REF;REF;8.24;2;0;0;63;2;4;1222.11;117.23;72.53;0.07;9.99;40.66;7.24;7.33;
1995;42.2853;8.9693;REF;REF;8.16;2;0;0;65;1;4;1236.83;116.6;72.99;0.1;9.75;40.65;7.3;7.27;
1996;42.2792;9.0656;REF;REF;8.68;4;0;1;57;2;5;1216.63;118.13;72.71;0.1;9.56;41.14;7;7.33;
