#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : FEU_METEO2022
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maÃ®trisÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM40 : Indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     NORIFMxAV : IFMx moyen
#     NORIFMx50 : Danger Feu MÃ©tÃ©o vÃ©gÃ©tation vivante ElevÃ© (jour)
#     AIFM40 : Ecart de indicateur feux de forÃªt nbj sup Ã  40 (jour)
#     AIFMxAV : Ecart de ifmx moyen
#     AIFMx50 : Ecart de danger feu mÃ©tÃ©o vÃ©gÃ©tation vivante elevÃ© (jour)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORIFM40;NORIFMxAV;NORIFMx50;AIFM40;AIFMxAV;AIFMx50;
#-----------------------------------------------------------------------------
2063;42.5629;1.7049;RCP2.6;H1;0;3.03;0;0;0.01;0;
2064;42.5634;1.8021;RCP2.6;H1;0;3.6;0;0;0.16;0;
2065;42.5639;1.8993;RCP2.6;H1;0;3.61;0;0;0.04;0;
2066;42.5642;1.9965;RCP2.6;H1;0;3.65;0;0;0.07;0;
2067;42.5645;2.0936;RCP2.6;H1;0;4.9;0;0;0.5;0;
2068;42.5647;2.1908;RCP2.6;H1;1;5.3;0;1;0.54;0;
2069;42.5648;2.288;RCP2.6;H1;2;5.42;0;2;0.53;0;
2070;42.5648;2.3852;RCP2.6;H1;1;6.14;0;1;0.55;0;
2071;42.5647;2.4823;RCP2.6;H1;1;5.26;0;1;0.54;0;
2072;42.5645;2.5795;RCP2.6;H1;1;6.37;0;0;0.79;0;
2073;42.5642;2.6767;RCP2.6;H1;2;9.23;1;-1;0.83;1;
2074;42.5639;2.7739;RCP2.6;H1;5;12.22;7;-3;1.04;3;
2075;42.5634;2.8711;RCP2.6;H1;17;17.72;26;-15;1.01;9;
2076;42.5629;2.9682;RCP2.6;H1;42;18.58;29;6;0.99;9;
2077;42.5623;3.0654;RCP2.6;H1;46;19.73;35;12;0.93;5;
2134;42.3804;8.5913;RCP2.6;H1;39;11.52;4;31;0.91;1;
2135;42.3746;8.6879;RCP2.6;H1;11;10.86;5;2;1.14;2;
2136;42.3688;8.7844;RCP2.6;H1;13;8.27;2;9;1.6;1;
2137;42.3629;8.8809;RCP2.6;H1;9;5.7;0;8;1.28;0;
2138;42.3568;8.9774;RCP2.6;H1;3;5.38;0;2;1.15;0;
2139;42.3507;9.0739;RCP2.6;H1;2;6.72;2;0;1.46;2;
2140;42.3446;9.1704;RCP2.6;H1;7;9.03;4;2;1.51;3;
2141;42.3383;9.2668;RCP2.6;H1;12;6.79;1;11;1.32;1;
2142;42.3319;9.3632;RCP2.6;H1;5;6.4;0;4;1.25;0;
2143;42.3254;9.4596;RCP2.6;H1;4;8.39;1;1;1.34;1;
2144;42.3189;9.556;RCP2.6;H1;6;10.23;2;2;0.87;1;
2203;42.6326;1.4123;RCP2.6;H1;0;2.46;0;0;0.1;0;
2204;42.6334;1.5096;RCP2.6;H1;0;2.93;0;0;0.02;0;
2205;42.6341;1.6069;RCP2.6;H1;0;2.4;0;0;-0.01;0;
2206;42.6347;1.7042;RCP2.6;H1;0;2.37;0;0;0.05;0;
2207;42.6353;1.8014;RCP2.6;H1;0;2.48;0;0;0.19;0;
2208;42.6357;1.8987;RCP2.6;H1;0;2.29;0;0;0.01;0;
2209;42.6361;1.996;RCP2.6;H1;0;2.3;0;0;-0.04;0;
2210;42.6363;2.0933;RCP2.6;H1;0;4.37;0;0;-0.04;0;
2211;42.6365;2.1906;RCP2.6;H1;0;2.61;0;0;0.05;0;
2212;42.6366;2.2879;RCP2.6;H1;0;4.69;0;0;0.16;0;
2213;42.6366;2.3852;RCP2.6;H1;0;6.71;0;0;0.64;0;
2214;42.6365;2.4825;RCP2.6;H1;2;9.06;1;-1;0.6;0;
2215;42.6363;2.5798;RCP2.6;H1;5;10.27;3;1;1.11;2;
2216;42.6361;2.6771;RCP2.6;H1;9;11.95;7;1;1.1;4;
2217;42.6357;2.7744;RCP2.6;H1;16;16.96;22;-11;0.94;8;
2218;42.6353;2.8717;RCP2.6;H1;38;18.24;28;4;1;9;
2219;42.6347;2.969;RCP2.6;H1;44;19.14;31;6;0.99;9;
2220;42.6341;3.0663;RCP2.6;H1;48;19.35;32;9;0.98;10;
2278;42.4462;8.6957;RCP2.6;H1;49;11.4;4;40;0.95;1;
2279;42.4404;8.7924;RCP2.6;H1;12;10.33;9;1;1.6;5;
2280;42.4344;8.889;RCP2.6;H1;21;5.9;0;19;1.39;0;
2281;42.4284;8.9856;RCP2.6;H1;3;5.39;0;3;1.14;0;
2282;42.4223;9.0822;RCP2.6;H1;2;6.26;2;0;1.42;1;
2283;42.4161;9.1788;RCP2.6;H1;6;10;4;-1;1.56;3;
2284;42.4098;9.2753;RCP2.6;H1;15;7.66;1;13;1.54;1;
2285;42.4034;9.3719;RCP2.6;H1;6;8.02;1;4;1.52;1;
2286;42.397;9.4684;RCP2.6;H1;6;8.98;2;3;1.31;1;
2331;42.6817;-0.0495;RCP2.6;H1;8;2.33;0;8;0.37;0;
2332;42.6839;0.0479;RCP2.6;H1;0;2.39;0;0;0.36;0;
2333;42.6859;0.1452;RCP2.6;H1;0;2.16;0;0;0.3;0;
2334;42.6879;0.2426;RCP2.6;H1;0;2.15;0;0;0.34;0;
2335;42.6897;0.3399;RCP2.6;H1;0;2.15;0;0;0.25;0;
2336;42.6915;0.4373;RCP2.6;H1;0;2.42;0;0;0.14;0;
2337;42.6932;0.5346;RCP2.6;H1;0;2.23;0;0;0.1;0;
2338;42.6948;0.632;RCP2.6;H1;0;2.07;0;0;0.19;0;
2343;42.7015;1.1189;RCP2.6;H1;0;1.66;0;0;0.25;0;
2344;42.7026;1.2163;RCP2.6;H1;0;1.77;0;0;0.22;0;
2345;42.7036;1.3137;RCP2.6;H1;0;2.07;0;0;0.34;0;
2346;42.7044;1.4111;RCP2.6;H1;0;2.82;0;0;0.45;0;
2347;42.7052;1.5086;RCP2.6;H1;0;2.65;0;0;0.17;0;
2348;42.706;1.606;RCP2.6;H1;0;2.69;0;0;0.15;0;
2349;42.7066;1.7034;RCP2.6;H1;0;2.82;0;0;0.22;0;
2350;42.7071;1.8008;RCP2.6;H1;0;3.28;0;0;0.34;0;
2351;42.7076;1.8982;RCP2.6;H1;0;3;0;0;0.29;0;
2352;42.7079;1.9956;RCP2.6;H1;0;2.52;0;0;0.12;0;
2353;42.7082;2.093;RCP2.6;H1;0;4.21;0;0;0.29;0;
2354;42.7084;2.1905;RCP2.6;H1;1;3.4;0;1;0.37;0;
2355;42.7085;2.2879;RCP2.6;H1;0;3.38;0;0;0.46;0;
2356;42.7085;2.3853;RCP2.6;H1;0;5.35;0;0;0.67;0;
2357;42.7084;2.4827;RCP2.6;H1;1;7.37;1;0;0.81;1;
2358;42.7082;2.5801;RCP2.6;H1;4;10.56;5;-2;1.37;3;
2359;42.7079;2.6775;RCP2.6;H1;14;12.67;10;3;1.37;5;
2360;42.7076;2.775;RCP2.6;H1;23;17.08;21;-5;1;7;
2361;42.7071;2.8724;RCP2.6;H1;39;18.37;27;4;1.05;8;
2362;42.7066;2.9698;RCP2.6;H1;46;18.95;30;7;1.04;9;
