Point;Latitude;Longitude;Contexte;P̩riode;NORIFM40;NORIFMxAV;NORIFMx50;AIFM40;AIFMxAV;AIFMx50;
1792;42.4179;3.1605;RCP4.5;H1;28;18.74;31;-2;1.38;6;
1848;42.2372;8.576;RCP4.5;H1;36;10.64;5;27;0.84;2;
1849;42.2315;8.6723;RCP4.5;H1;14;9.36;6;5;1.18;2;
1850;42.2256;8.7686;RCP4.5;H1;15;9.07;8;6;1.48;4;
1851;42.2197;8.8649;RCP4.5;H1;17;8.52;7;9;1.48;4;
1852;42.2137;8.9611;RCP4.5;H1;16;5.61;1;15;1.2;1;
1853;42.2076;9.0574;RCP4.5;H1;3;5.23;1;3;1.13;1;
1854;42.2015;9.1536;RCP4.5;H1;3;7.19;2;0;1.54;2;
1855;42.1952;9.2498;RCP4.5;H1;8;9.69;4;2;1.71;3;
1856;42.1889;9.346;RCP4.5;H1;14;9.77;3;10;1.35;3;
1857;42.1824;9.4421;RCP4.5;H1;12;9.75;1;8;0.86;1;
1858;42.1759;9.5383;RCP4.5;H1;7;10.06;1;3;0.82;0;
1918;42.4897;1.5116;RCP4.5;H1;7;4.49;0;7;0.6;0;
1919;42.4905;1.6087;RCP4.5;H1;1;3.43;0;1;0.33;0;
1920;42.4911;1.7057;RCP4.5;H1;0;3.32;0;0;0.29;0;
1921;42.4916;1.8028;RCP4.5;H1;0;3.68;0;0;0.29;0;
1922;42.4921;1.8998;RCP4.5;H1;0;4.84;0;0;0.47;0;
1923;42.4924;1.9969;RCP4.5;H1;0;5.97;0;0;0.61;0;
1924;42.4927;2.0939;RCP4.5;H1;2;5.65;1;1;0.7;1;
1925;42.4929;2.191;RCP4.5;H1;2;4.81;1;1;0.61;1;
1926;42.4929;2.2881;RCP4.5;H1;1;4.9;0;1;0.72;0;
1927;42.4929;2.3851;RCP4.5;H1;1;4.93;0;1;0.52;0;
1928;42.4929;2.4822;RCP4.5;H1;1;3.1;0;1;0.31;0;
1929;42.4927;2.5792;RCP4.5;H1;0;4.4;0;0;0.72;0;
1930;42.4924;2.6763;RCP4.5;H1;1;7.22;1;0;0.87;1;
1931;42.4921;2.7733;RCP4.5;H1;3;12.28;8;-6;1.21;4;
1932;42.4916;2.8704;RCP4.5;H1;17;11.2;6;10;1.18;4;
1933;42.4911;2.9674;RCP4.5;H1;13;9.84;5;9;1.08;3;
1934;42.4905;3.0645;RCP4.5;H1;10;15.27;20;-10;1.39;7;
1935;42.4898;3.1615;RCP4.5;H1;27;20.11;35;-7;1.44;6;
1991;42.3088;8.5836;RCP4.5;H1;40;10.87;4;30;0.74;2;
1992;42.303;8.6801;RCP4.5;H1;14;10.31;5;4;0.92;2;
1993;42.2972;8.7765;RCP4.5;H1;16;7.13;3;13;1.33;2;
1994;42.2913;8.8729;RCP4.5;H1;8;5.6;1;7;1.17;1;
1995;42.2853;8.9693;RCP4.5;H1;4;5.51;1;4;1.25;1;
1996;42.2792;9.0656;RCP4.5;H1;3;6.4;2;1;1.68;1;
1997;42.273;9.162;RCP4.5;H1;6;8.55;4;2;1.85;3;
1998;42.2667;9.2583;RCP4.5;H1;11;8.94;3;8;1.58;2;
1999;42.2604;9.3546;RCP4.5;H1;11;8.05;2;9;1.53;2;
2000;42.2539;9.4509;RCP4.5;H1;8;9.05;2;4;1.07;1;
2001;42.2474;9.5471;RCP4.5;H1;8;10.05;1;4;0.82;0;
2061;42.5616;1.5106;RCP4.5;H1;0;3.77;0;0;0.38;0;
2062;42.5623;1.6078;RCP4.5;H1;0;3.17;0;0;0.23;0;
2063;42.5629;1.7049;RCP4.5;H1;0;3.09;0;0;0.07;0;
2064;42.5634;1.8021;RCP4.5;H1;0;3.76;0;0;0.32;0;
2065;42.5639;1.8993;RCP4.5;H1;0;3.95;0;0;0.38;0;
2066;42.5642;1.9965;RCP4.5;H1;0;3.92;0;0;0.34;0;
2067;42.5645;2.0936;RCP4.5;H1;0;5.09;1;0;0.69;0;
2068;42.5647;2.1908;RCP4.5;H1;2;5.5;1;1;0.74;1;
2069;42.5648;2.288;RCP4.5;H1;2;5.66;0;2;0.77;0;
2070;42.5648;2.3852;RCP4.5;H1;1;6.31;0;1;0.72;0;
2071;42.5647;2.4823;RCP4.5;H1;1;5.45;0;1;0.73;0;
2072;42.5645;2.5795;RCP4.5;H1;1;6.39;0;0;0.81;0;
2073;42.5642;2.6767;RCP4.5;H1;2;9.25;2;-1;0.85;1;
2074;42.5639;2.7739;RCP4.5;H1;6;12.31;7;-2;1.13;4;
2075;42.5634;2.8711;RCP4.5;H1;17;17.9;25;-15;1.19;8;
2076;42.5629;2.9682;RCP4.5;H1;41;18.78;28;5;1.19;8;
2077;42.5623;3.0654;RCP4.5;H1;45;20.16;36;11;1.36;6;
2134;42.3804;8.5913;RCP4.5;H1;41;11.11;3;32;0.5;1;
2135;42.3746;8.6879;RCP4.5;H1;11;10.38;5;2;0.66;1;
2136;42.3688;8.7844;RCP4.5;H1;13;8.09;3;10;1.42;2;
2137;42.3629;8.8809;RCP4.5;H1;10;5.59;1;9;1.17;1;
2138;42.3568;8.9774;RCP4.5;H1;4;5.48;1;4;1.25;1;
2139;42.3507;9.0739;RCP4.5;H1;3;7.03;3;1;1.77;2;
2140;42.3446;9.1704;RCP4.5;H1;9;9.45;5;3;1.93;4;
2141;42.3383;9.2668;RCP4.5;H1;14;7.03;1;13;1.56;1;
2142;42.3319;9.3632;RCP4.5;H1;6;6.67;1;6;1.52;1;
2143;42.3254;9.4596;RCP4.5;H1;5;8.08;2;3;1.03;1;
2144;42.3189;9.556;RCP4.5;H1;7;10;1;3;0.64;1;
2203;42.6326;1.4123;RCP4.5;H1;0;2.64;0;0;0.28;0;
2204;42.6334;1.5096;RCP4.5;H1;0;3.03;0;0;0.12;0;
2205;42.6341;1.6069;RCP4.5;H1;0;2.57;0;0;0.16;0;
2206;42.6347;1.7042;RCP4.5;H1;0;2.48;0;0;0.16;0;
2207;42.6353;1.8014;RCP4.5;H1;0;2.52;0;0;0.23;0;
2208;42.6357;1.8987;RCP4.5;H1;0;2.42;0;0;0.14;0;
2209;42.6361;1.996;RCP4.5;H1;0;2.47;0;0;0.13;0;
2210;42.6363;2.0933;RCP4.5;H1;0;4.78;0;0;0.37;0;
2211;42.6365;2.1906;RCP4.5;H1;1;2.87;0;1;0.31;0;
2212;42.6366;2.2879;RCP4.5;H1;0;5;0;0;0.47;0;
2213;42.6366;2.3852;RCP4.5;H1;1;6.81;0;1;0.74;0;
2214;42.6365;2.4825;RCP4.5;H1;1;9.25;1;-1;0.79;1;
2215;42.6363;2.5798;RCP4.5;H1;5;10.1;2;1;0.94;1;
2216;42.6361;2.6771;RCP4.5;H1;9;12.04;7;0;1.19;4;
2217;42.6357;2.7744;RCP4.5;H1;16;17.15;23;-11;1.13;9;
2218;42.6353;2.8717;RCP4.5;H1;38;18.42;27;4;1.18;9;
2219;42.6347;2.969;RCP4.5;H1;43;19.34;31;5;1.19;9;
2220;42.6341;3.0663;RCP4.5;H1;48;19.56;31;8;1.19;9;
2278;42.4462;8.6957;RCP4.5;H1;49;10.99;4;40;0.54;1;
2279;42.4404;8.7924;RCP4.5;H1;11;10.19;9;0;1.46;5;
2280;42.4344;8.889;RCP4.5;H1;18;5.76;1;17;1.25;1;
2281;42.4284;8.9856;RCP4.5;H1;4;5.54;1;4;1.29;1;
2282;42.4223;9.0822;RCP4.5;H1;3;6.43;2;1;1.59;2;
2283;42.4161;9.1788;RCP4.5;H1;7;10.21;6;0;1.77;4;
2284;42.4098;9.2753;RCP4.5;H1;16;7.8;1;14;1.68;1;
2285;42.4034;9.3719;RCP4.5;H1;8;7.78;1;6;1.28;1;
2286;42.397;9.4684;RCP4.5;H1;6;8.75;2;4;1.08;1;
2331;42.6817;-0.0495;RCP4.5;H1;9;2.44;0;9;0.48;0;
2332;42.6839;0.0479;RCP4.5;H1;0;2.52;0;0;0.49;0;
2333;42.6859;0.1452;RCP4.5;H1;0;2.23;0;0;0.37;0;
2334;42.6879;0.2426;RCP4.5;H1;0;2.2;0;0;0.39;0;
2335;42.6897;0.3399;RCP4.5;H1;0;2.27;0;0;0.37;0;
2336;42.6915;0.4373;RCP4.5;H1;0;2.56;0;0;0.28;0;
2337;42.6932;0.5346;RCP4.5;H1;0;2.47;0;0;0.34;0;
2338;42.6948;0.632;RCP4.5;H1;0;2.2;0;0;0.32;0;
2343;42.7015;1.1189;RCP4.5;H1;0;1.72;0;0;0.31;0;
2344;42.7026;1.2163;RCP4.5;H1;0;1.86;0;0;0.31;0;
2345;42.7036;1.3137;RCP4.5;H1;0;2.1;0;0;0.37;0;
2346;42.7044;1.4111;RCP4.5;H1;0;2.82;0;0;0.45;0;
2347;42.7052;1.5086;RCP4.5;H1;0;2.73;0;0;0.25;0;
2348;42.706;1.606;RCP4.5;H1;0;2.78;0;0;0.24;0;
2349;42.7066;1.7034;RCP4.5;H1;0;2.87;0;0;0.27;0;
2350;42.7071;1.8008;RCP4.5;H1;0;3.34;0;0;0.4;0;
2351;42.7076;1.8982;RCP4.5;H1;1;3.06;0;0;0.35;0;
2352;42.7079;1.9956;RCP4.5;H1;0;2.6;0;0;0.2;0;
2353;42.7082;2.093;RCP4.5;H1;0;4.25;0;0;0.33;0;
2354;42.7084;2.1905;RCP4.5;H1;1;3.4;0;0;0.37;0;
2355;42.7085;2.2879;RCP4.5;H1;0;3.58;0;0;0.66;0;
2356;42.7085;2.3853;RCP4.5;H1;1;5.48;0;0;0.8;0;
2357;42.7084;2.4827;RCP4.5;H1;1;7.5;1;0;0.94;1;
2358;42.7082;2.5801;RCP4.5;H1;4;10.42;5;-2;1.23;3;
2359;42.7079;2.6775;RCP4.5;H1;13;12.72;10;2;1.42;5;
2360;42.7076;2.775;RCP4.5;H1;22;17.16;23;-6;1.08;9;
2361;42.7071;2.8724;RCP4.5;H1;37;18.55;28;2;1.23;9;
2362;42.7066;2.9698;RCP4.5;H1;45;19.15;30;6;1.24;9;
2363;42.706;3.0672;RCP4.5;H1;47;19.5;31;8;1.24;9;
2421;42.5178;8.7036;RCP4.5;H1;49;11.88;6;37;1.16;2;
2422;42.512;8.8003;RCP4.5;H1;15;11.88;6;4;1.15;2;
2423;42.506;8.8971;RCP4.5;H1;15;7.86;2;12;1.14;1;
2424;42.5;8.9938;RCP4.5;H1;7;6.48;1;5;1.37;1;
2425;42.4939;9.0905;RCP4.5;H1;5;7.89;3;1;1.49;2;
2426;42.4877;9.1872;RCP4.5;H1;9;10.16;5;2;1.48;3;
2427;42.4814;9.2839;RCP4.5;H1;15;9.97;5;10;1.83;4;
2428;42.475;9.3805;RCP4.5;H1;16;8.12;1;14;1.15;1;
2429;42.4685;9.4772;RCP4.5;H1;7;9.72;2;4;0.88;1;
2430;42.4619;9.5738;RCP4.5;H1;8;10.21;2;4;0.79;1;
2473;42.7513;-0.1499;RCP4.5;H1;0;2.5;0;0;0.49;0;
2474;42.7535;-0.0524;RCP4.5;H1;0;2.12;0;0;0.35;0;
2475;42.7557;0.045;RCP4.5;H1;0;2.15;0;0;0.42;0;
2476;42.7577;0.1425;RCP4.5;H1;0;2.13;0;0;0.28;0;
2477;42.7597;0.24;RCP4.5;H1;0;2.18;0;0;0.43;0;
2478;42.7616;0.3374;RCP4.5;H1;0;2.2;0;0;0.45;0;
2479;42.7634;0.4349;RCP4.5;H1;0;2.68;0;0;0.46;0;
2480;42.765;0.5324;RCP4.5;H1;0;2.58;0;0;0.5;0;
2481;42.7667;0.6299;RCP4.5;H1;0;3.06;0;0;0.65;0;
2484;42.7709;0.9224;RCP4.5;H1;0;1.94;0;0;0.28;0;
2485;42.7722;1.0199;RCP4.5;H1;0;1.92;0;0;0.25;0;
2486;42.7733;1.1174;RCP4.5;H1;0;2.01;0;0;0.3;0;
2487;42.7744;1.2149;RCP4.5;H1;0;2.48;0;0;0.36;0;
2488;42.7754;1.3125;RCP4.5;H1;0;2.61;0;0;0.41;0;
2489;42.7763;1.41;RCP4.5;H1;0;2.21;0;0;0.32;0;
2490;42.7771;1.5075;RCP4.5;H1;0;3.43;0;0;0.39;0;
2491;42.7778;1.6051;RCP4.5;H1;0;3.66;0;0;0.44;0;
2492;42.7784;1.7026;RCP4.5;H1;1;3.73;0;1;0.47;0;
2493;42.779;1.8001;RCP4.5;H1;0;3.38;0;0;0.4;0;
2494;42.7794;1.8977;RCP4.5;H1;0;2.96;0;0;0.31;0;
2495;42.7798;1.9952;RCP4.5;H1;0;3.5;0;0;0.35;0;
2496;42.78;2.0927;RCP4.5;H1;1;3.6;0;0;0.43;0;
2497;42.7802;2.1903;RCP4.5;H1;0;3.84;0;0;0.43;0;
2498;42.7803;2.2878;RCP4.5;H1;1;3.97;0;0;0.54;0;
2499;42.7803;2.3854;RCP4.5;H1;1;6.7;0;0;0.74;0;
2500;42.7802;2.4829;RCP4.5;H1;2;9.71;3;-2;0.97;2;
2501;42.78;2.5804;RCP4.5;H1;9;11.6;7;0;1.08;4;
2502;42.7798;2.678;RCP4.5;H1;16;12.69;9;4;1.14;5;
2503;42.7794;2.7755;RCP4.5;H1;20;15.49;16;-1;0.82;6;
2504;42.779;2.873;RCP4.5;H1;29;18.41;26;-5;1.02;8;
2505;42.7784;2.9706;RCP4.5;H1;43;19.04;29;5;1.02;8;
2506;42.7778;3.0681;RCP4.5;H1;45;16.59;23;18;1.32;8;
2564;42.5894;8.7114;RCP4.5;H1;37;12.45;6;26;1.1;2;
2565;42.5835;8.8083;RCP4.5;H1;15;12.2;6;4;1.11;2;
2566;42.5776;8.9052;RCP4.5;H1;14;11.92;8;3;1.44;4;
2567;42.5716;9.002;RCP4.5;H1;17;10.94;9;6;1.59;4;
2568;42.5654;9.0989;RCP4.5;H1;19;10.95;10;7;1.61;5;
2569;42.5592;9.1957;RCP4.5;H1;20;8.44;5;15;1.44;3;
2570;42.5529;9.2925;RCP4.5;H1;11;10.2;11;2;2.02;7;
2571;42.5465;9.3892;RCP4.5;H1;21;8.74;2;19;1.34;1;
2572;42.54;9.486;RCP4.5;H1;8;10.34;2;5;1.01;2;
2611;42.8106;-0.6407;RCP4.5;H1;14;2.4;0;14;0.54;0;
2612;42.8133;-0.5431;RCP4.5;H1;0;2.42;0;0;0.54;0;
2613;42.8159;-0.4456;RCP4.5;H1;0;2.27;0;0;0.43;0;
2614;42.8184;-0.3481;RCP4.5;H1;0;2.25;0;0;0.44;0;
2615;42.8208;-0.2505;RCP4.5;H1;0;2.63;0;0;0.23;0;
2616;42.8231;-0.1529;RCP4.5;H1;0;2.39;0;0;0.49;0;
2617;42.8254;-0.0554;RCP4.5;H1;0;2.16;0;0;0.35;0;
2618;42.8275;0.0422;RCP4.5;H1;0;2.33;0;0;0.49;0;
2619;42.8296;0.1398;RCP4.5;H1;0;2.75;0;0;0.3;0;
2620;42.8315;0.2374;RCP4.5;H1;0;2.3;0;0;0.37;0;
2621;42.8334;0.335;RCP4.5;H1;0;3.7;0;0;0.76;0;
2622;42.8352;0.4326;RCP4.5;H1;1;3.41;0;1;0.6;0;
2623;42.8369;0.5302;RCP4.5;H1;1;2.73;0;1;0.46;0;
2624;42.8385;0.6278;RCP4.5;H1;0;3.05;0;0;0.54;0;
2625;42.84;0.7254;RCP4.5;H1;1;3.52;0;0;0.68;0;
2626;42.8414;0.823;RCP4.5;H1;1;2.69;0;0;0.37;0;
2627;42.8428;0.9206;RCP4.5;H1;0;2.49;0;0;0.39;0;
2628;42.844;1.0183;RCP4.5;H1;0;2.71;0;0;0.53;0;
2629;42.8452;1.1159;RCP4.5;H1;0;2.34;0;0;0.33;0;
2630;42.8463;1.2136;RCP4.5;H1;0;2.99;0;0;0.45;0;
2631;42.8472;1.3112;RCP4.5;H1;0;2.9;0;0;0.45;0;
2632;42.8481;1.4088;RCP4.5;H1;0;2.57;0;0;0.39;0;
2633;42.8489;1.5065;RCP4.5;H1;0;3.43;0;0;0.38;0;
2634;42.8497;1.6041;RCP4.5;H1;0;3.83;0;0;0.45;0;
2635;42.8503;1.7018;RCP4.5;H1;0;3.14;0;0;0.36;0;
2636;42.8508;1.7995;RCP4.5;H1;0;3;0;0;0.28;0;
2637;42.8513;1.8971;RCP4.5;H1;0;3.26;0;0;0.33;0;
2638;42.8516;1.9948;RCP4.5;H1;0;3.62;0;0;0.28;0;
2639;42.8519;2.0924;RCP4.5;H1;0;3.92;0;0;0.47;0;
2640;42.8521;2.1901;RCP4.5;H1;1;5.34;0;-1;0.55;0;
2641;42.8522;2.2877;RCP4.5;H1;2;4.63;0;1;0.53;0;
2642;42.8522;2.3854;RCP4.5;H1;1;6.62;1;-1;0.74;0;
2643;42.8521;2.4831;RCP4.5;H1;4;8.11;3;0;1.08;2;
2644;42.8519;2.5807;RCP4.5;H1;9;8.93;5;2;1.11;3;
2645;42.8516;2.6784;RCP4.5;H1;13;10.49;10;2;1.28;5;
2646;42.8513;2.776;RCP4.5;H1;19;14.09;12;3;0.85;5;
2647;42.8508;2.8737;RCP4.5;H1;24;16.06;19;0;1;7;
2648;42.8503;2.9714;RCP4.5;H1;33;17.8;25;1;1.01;8;
2649;42.8497;3.069;RCP4.5;H1;40;19.15;29;3;1.02;8;
2709;42.6492;8.9133;RCP4.5;H1;46;12.54;7;36;1.32;4;
2710;42.6431;9.0103;RCP4.5;H1;16;12.37;7;6;1.23;3;
2711;42.637;9.1072;RCP4.5;H1;15;12.03;7;5;1.31;3;
2712;42.6308;9.2042;RCP4.5;H1;16;11.67;14;1;1.86;7;
2713;42.6245;9.3011;RCP4.5;H1;25;11.17;6;18;1.49;4;
2714;42.6181;9.398;RCP4.5;H1;15;9.77;5;9;1.63;4;
2715;42.6116;9.4948;RCP4.5;H1;14;10.39;2;11;1.01;2;
2753;42.8797;-0.742;RCP4.5;H1;16;2.46;0;16;0.56;0;
2754;42.8824;-0.6444;RCP4.5;H1;0;2.58;0;0;0.65;0;
2755;42.8851;-0.5467;RCP4.5;H1;0;2.5;0;0;0.6;0;
2756;42.8877;-0.4491;RCP4.5;H1;0;2.31;0;0;0.51;0;
2757;42.8902;-0.3514;RCP4.5;H1;0;2.25;0;0;0.44;0;
2758;42.8926;-0.2537;RCP4.5;H1;0;2.33;0;0;0.44;0;
2759;42.895;-0.156;RCP4.5;H1;0;2.53;0;0;0.52;0;
2760;42.8972;-0.0584;RCP4.5;H1;0;2.9;0;0;0.66;0;
2761;42.8993;0.0393;RCP4.5;H1;0;2.57;0;0;0.53;0;
2762;42.9014;0.137;RCP4.5;H1;0;2.6;0;0;0.36;0;
2763;42.9034;0.2348;RCP4.5;H1;0;2.26;0;0;0.39;0;
2764;42.9052;0.3325;RCP4.5;H1;0;3.64;0;0;0.65;0;
2765;42.907;0.4302;RCP4.5;H1;0;3.37;0;0;0.56;0;
2766;42.9087;0.5279;RCP4.5;H1;0;3.34;0;0;0.42;0;
2767;42.9103;0.6257;RCP4.5;H1;0;3.57;0;0;0.62;0;
2768;42.9118;0.7234;RCP4.5;H1;1;3.62;0;0;0.71;0;
2769;42.9133;0.8211;RCP4.5;H1;1;3.5;0;0;0.61;0;
2770;42.9146;0.9189;RCP4.5;H1;1;3.12;0;0;0.54;0;
2771;42.9159;1.0166;RCP4.5;H1;0;3.28;0;0;0.62;0;
2772;42.917;1.1144;RCP4.5;H1;0;2.8;0;0;0.46;0;
2773;42.9181;1.2122;RCP4.5;H1;0;3.08;0;0;0.5;0;
