Point;Latitude;Longitude;Contexte;P̩riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;
1426;41.9806;9.2245;REF;REF;572.75;2519.28;0.6;67;272;143;
1427;41.9743;9.3203;REF;REF;486.24;3908.91;10.27;30;228;188;
1428;41.9679;9.4161;REF;REF;414.15;4561.9;17.97;21;0;0;
1562;42.0941;8.5607;REF;REF;362.33;4354.61;15.4;23;0;0;
1563;42.0883;8.6568;REF;REF;363.38;4348.23;15.43;23;227;193;
1564;42.0825;8.7528;REF;REF;381.19;4199.9;13.23;25;223;191;
1565;42.0766;8.8489;REF;REF;492.79;3796.71;10.43;31;227;191;
1566;42.0706;8.9449;REF;REF;494.61;3780.93;10.33;32;227;194;
1567;42.0646;9.0409;REF;REF;642.49;3109.35;2.93;46;251;163;
1568;42.0584;9.1369;REF;REF;643.83;1854.6;0;101;289;129;
1569;42.0522;9.2329;REF;REF;579.51;2588.56;0.4;61;275;146;
1570;42.0458;9.3288;REF;REF;464.35;4152.61;14.1;26;224;194;
1571;42.0394;9.4248;REF;REF;416.7;4539.63;17.2;22;215;208;
1572;42.0329;9.5207;REF;REF;412.08;4579.08;17.43;21;0;0;
1637;42.3488;1.9977;REF;REF;516.16;1594.09;0.07;109;315;117;
1638;42.349;2.0945;REF;REF;529.55;1440.02;0.03;119;0;0;
1641;42.3493;2.385;REF;REF;848.4;2387.12;0.53;67;0;0;
1642;42.3492;2.4818;REF;REF;790.73;2756.51;1.77;53;272;139;
1643;42.349;2.5786;REF;REF;750.57;2965.67;2.93;47;265;146;
1644;42.3488;2.6754;REF;REF;694.25;3346.2;5.6;38;248;155;
1705;42.1656;8.5683;REF;REF;367;4325.66;14.97;24;230;193;
1706;42.1599;8.6645;REF;REF;421.74;3958.26;10.37;28;229;184;
1707;42.1541;8.7607;REF;REF;481.33;3924.85;11.77;29;228;189;
1708;42.1482;8.8569;REF;REF;511.18;3641.1;8.4;34;233;193;
1709;42.1422;8.953;REF;REF;617.36;3320.15;4.93;41;243;166;
1710;42.1361;9.0491;REF;REF;558.2;2387.59;0.13;69;280;139;
1711;42.1299;9.1452;REF;REF;590.97;2409.33;0.33;73;274;138;
1712;42.1237;9.2413;REF;REF;532.57;3056.93;3.03;46;263;151;
1713;42.1173;9.3374;REF;REF;478.93;4024.94;12.43;28;231;192;
1714;42.1109;9.4334;REF;REF;422.19;4488.07;16.83;22;214;207;
1715;42.1044;9.5295;REF;REF;412.65;4574.13;17.3;21;212;203;
1779;42.4202;1.9004;REF;REF;430.1;2594.04;3.43;66;0;0;
1780;42.4206;1.9973;REF;REF;457.61;2187.71;0.9;83;292;132;
1781;42.4208;2.0942;REF;REF;547.95;1175.77;0;136;330;104;
1782;42.421;2.1912;REF;REF;662.42;868.85;0;157;341;98;
1783;42.4211;2.2881;REF;REF;648.53;1125.48;0;140;0;0;
1784;42.4211;2.3851;REF;REF;921.82;1720.16;0.07;97;313;128;
1785;42.421;2.482;REF;REF;810.07;2662.95;1.63;59;274;145;
1786;42.4209;2.5789;REF;REF;701.23;3308.15;5.47;39;253;155;
1787;42.4206;2.6759;REF;REF;734.15;3086.02;4.03;44;263;149;
1788;42.4202;2.7728;REF;REF;677.68;3381.09;6.6;38;248;154;
1789;42.4198;2.8697;REF;REF;441.35;3930.14;12.83;30;0;0;
1791;42.4186;3.0636;REF;REF;453.26;4021.23;7.33;27;0;0;
1792;42.4179;3.1605;REF;REF;414.14;4385.9;9.7;23;0;0;
1848;42.2372;8.576;REF;REF;376.32;4266.17;13.93;24;0;0;
1849;42.2315;8.6723;REF;REF;451.59;3700.45;7.47;32;233;183;
1850;42.2256;8.7686;REF;REF;527.67;3479.07;6.2;37;243;184;
1851;42.2197;8.8649;REF;REF;572.45;3012.18;2.4;48;257;161;
1852;42.2137;8.9611;REF;REF;596.97;2121.1;0;89;280;137;
1853;42.2076;9.0574;REF;REF;631.04;1697.34;0;114;290;127;
1854;42.2015;9.1536;REF;REF;554.8;2838.5;1.7;55;264;145;
1855;42.1952;9.2498;REF;REF;433.48;3552.48;9.73;36;258;158;
1856;42.1889;9.346;REF;REF;481.74;3969.87;11.37;29;227;187;
1857;42.1824;9.4421;REF;REF;457.25;4370.75;13.83;23;212;206;
1858;42.1759;9.5383;REF;REF;439.4;4562.86;14.2;21;0;0;
1918;42.4897;1.5116;REF;REF;616.66;1867.01;0.33;93;304;127;
1919;42.4905;1.6087;REF;REF;709.52;982.2;0;149;336;104;
1920;42.4911;1.7057;REF;REF;717.42;791.27;0;161;342;90;
1921;42.4916;1.8028;REF;REF;561.16;1111.88;0;140;332;111;
1922;42.4921;1.8998;REF;REF;499.92;1609.42;0.13;105;316;124;
1923;42.4924;1.9969;REF;REF;476.54;1908.44;0.23;89;307;128;
1924;42.4927;2.0939;REF;REF;493.76;1728.6;0.17;106;303;122;
1925;42.4929;2.191;REF;REF;560.23;1674.55;0.1;108;303;121;
1926;42.4929;2.2881;REF;REF;561.26;1659.39;0.03;99;316;117;
1927;42.4929;2.3851;REF;REF;579.81;1769.74;0.1;93;313;126;
1928;42.4929;2.4822;REF;REF;989.92;1362.32;0;124;323;115;
1929;42.4927;2.5792;REF;REF;764.45;2869.26;2.3;49;270;144;
1930;42.4924;2.6763;REF;REF;629.03;3811.07;11.03;31;232;165;
1931;42.4921;2.7733;REF;REF;443.87;4021.56;13.47;28;227;168;
1932;42.4916;2.8704;REF;REF;463.95;3828.55;11.1;31;227;163;
1933;42.4911;2.9674;REF;REF;518.41;3493.57;3.8;35;227;162;
1934;42.4905;3.0645;REF;REF;455.43;4000.24;7;28;223;183;
1935;42.4898;3.1615;REF;REF;403.27;4486.58;10.93;22;0;0;
1991;42.3088;8.5836;REF;REF;368.69;4330.12;15.23;24;0;0;
1992;42.303;8.6801;REF;REF;401.96;4115.3;11.53;26;227;184;
1993;42.2972;8.7765;REF;REF;516.98;2928.64;2.6;53;263;153;
1994;42.2913;8.8729;REF;REF;590.4;2141.84;0;84;280;140;
1995;42.2853;8.9693;REF;REF;602.97;2119.54;0;89;284;138;
1996;42.2792;9.0656;REF;REF;586.91;2253.04;0.07;75;279;139;
1997;42.273;9.162;REF;REF;451.79;3194.25;4.33;45;255;153;
1998;42.2667;9.2583;REF;REF;532.63;3669.93;10.8;34;248;166;
1999;42.2604;9.3546;REF;REF;561.42;3420.77;6.43;39;258;161;
2000;42.2539;9.4509;REF;REF;509.08;3848.24;10.73;30;243;181;
2001;42.2474;9.5471;REF;REF;439.8;4558.68;14.2;21;0;0;
2061;42.5616;1.5106;REF;REF;616.91;1635.96;0.1;103;320;122;
2062;42.5623;1.6078;REF;REF;660.1;1263.33;0;127;329;113;
2063;42.5629;1.7049;REF;REF;699.27;970.66;0;148;340;94;
2064;42.5634;1.8021;REF;REF;552.14;1214.45;0;131;329;116;
2065;42.5639;1.8993;REF;REF;576.92;936.89;0;152;338;106;
2066;42.5642;1.9965;REF;REF;565.12;1166.75;0;139;330;109;
2067;42.5645;2.0936;REF;REF;517.42;1615.69;0.17;113;311;118;
2068;42.5647;2.1908;REF;REF;541.49;1906.29;0.23;93;296;126;
2069;42.5648;2.288;REF;REF;472.81;2755.82;2.9;56;271;138;
2070;42.5648;2.3852;REF;REF;449.93;3172.77;6.07;43;257;146;
2071;42.5647;2.4823;REF;REF;496.45;2607.41;2.17;59;280;135;
2072;42.5645;2.5795;REF;REF;538.08;3118.29;3.67;43;255;152;
2073;42.5642;2.6767;REF;REF;474.9;3691.08;9.6;33;228;164;
2074;42.5639;2.7739;REF;REF;427.59;4119.3;15.57;28;227;174;
2075;42.5634;2.8711;REF;REF;373.16;4269.43;17.17;26;225;171;
2076;42.5629;2.9682;REF;REF;366.55;4341.38;18.77;26;228;173;
2077;42.5623;3.0654;REF;REF;405.13;4509.55;11.3;22;0;0;
2134;42.3804;8.5913;REF;REF;349.59;4350.57;13.7;23;0;0;
2135;42.3746;8.6879;REF;REF;389.33;3882.55;7.97;29;229;190;
2136;42.3688;8.7844;REF;REF;475.7;3438.98;9.23;39;257;156;
2137;42.3629;8.8809;REF;REF;591.73;2123.39;0;85;280;138;
2138;42.3568;8.9774;REF;REF;606.96;2083.7;0;91;285;137;
2139;42.3507;9.0739;REF;REF;554.01;2603.52;0.57;62;273;144;
2140;42.3446;9.1704;REF;REF;431.41;3417.72;8.63;41;252;153;
2141;42.3383;9.2668;REF;REF;612.76;3037.51;2.33;48;261;155;
2142;42.3319;9.3632;REF;REF;628.95;2873.31;1.17;52;264;150;
2143;42.3254;9.4596;REF;REF;559.32;3579.91;7.87;35;247;168;
2144;42.3189;9.556;REF;REF;454.97;4563.96;14.7;21;0;0;
2203;42.6326;1.4123;REF;REF;857.12;869.14;0;155;340;96;
2204;42.6334;1.5096;REF;REF;699.93;971.9;0;148;339;105;
2205;42.6341;1.6069;REF;REF;873.17;890.28;0;154;343;91;
2206;42.6347;1.7042;REF;REF;856.32;974.33;0;147;340;95;
2207;42.6353;1.8014;REF;REF;779.07;1366.44;0;119;325;115;
2208;42.6357;1.8987;REF;REF;833.96;1075.02;0;141;336;105;
2209;42.6361;1.996;REF;REF;850.62;1044.64;0;143;337;96;
2210;42.6363;2.0933;REF;REF;511.57;1706.43;0.13;102;315;118;
2211;42.6365;2.1906;REF;REF;737.89;1258.72;0;129;328;112;
2212;42.6366;2.2879;REF;REF;527.35;2222.94;0.5;76;290;126;
2213;42.6366;2.3852;REF;REF;435.91;3338.69;8.57;41;253;149;
2214;42.6365;2.4825;REF;REF;461.18;3727.4;10;33;222;170;
2215;42.6363;2.5798;REF;REF;452.93;3795.73;10.8;32;227;162;
2216;42.6361;2.6771;REF;REF;444.93;3961.27;13.3;30;225;172;
2217;42.6357;2.7744;REF;REF;376.28;4213.99;16.07;27;227;170;
2218;42.6353;2.8717;REF;REF;369.14;4313.2;18.1;26;227;170;
2219;42.6347;2.969;REF;REF;362.51;4385.27;20.1;25;228;173;
2220;42.6341;3.0663;REF;REF;361.03;4401.19;20.43;25;0;0;
2278;42.4462;8.6957;REF;REF;357.54;4259.14;12.83;24;216;198;
2279;42.4404;8.7924;REF;REF;422.9;3486.83;3.83;36;232;183;
2280;42.4344;8.889;REF;REF;594.95;2222.36;0.03;76;282;137;
2281;42.4284;8.9856;REF;REF;622.65;2100.17;0.07;89;289;137;
2282;42.4223;9.0822;REF;REF;570.34;2457.63;0.37;66;279;140;
2283;42.4161;9.1788;REF;REF;401.38;3692.69;12.97;34;255;158;
2284;42.4098;9.2753;REF;REF;585.36;3296.89;5.33;41;254;161;
2285;42.4034;9.3719;REF;REF;562.56;3425.02;6.77;39;256;157;
2286;42.397;9.4684;REF;REF;526.99;3749.51;9.33;32;247;178;
2331;42.6817;-0.0495;REF;REF;957.24;940.46;0;149;0;0;
2332;42.6839;0.0479;REF;REF;966.87;881.1;0;154;0;0;
2333;42.6859;0.1452;REF;REF;918.33;1164.96;0;133;0;0;
2334;42.6879;0.2426;REF;REF;914.56;1153.94;0;136;0;0;
2335;42.6897;0.3399;REF;REF;953.46;972.84;0;148;0;0;
2336;42.6915;0.4373;REF;REF;1012.99;740.23;0;166;347;71;
2337;42.6932;0.5346;REF;REF;968.13;861.06;0;157;343;91;
2338;42.6948;0.632;REF;REF;899.3;1155.02;0;135;332;109;
2343;42.7015;1.1189;REF;REF;992.29;1309.18;0.03;124;0;0;
2344;42.7026;1.2163;REF;REF;1055.99;1062.19;0;142;0;0;
2345;42.7036;1.3137;REF;REF;1061.1;1020.83;0;145;0;0;
2346;42.7044;1.4111;REF;REF;809.96;1222.3;0;130;332;102;
2347;42.7052;1.5086;REF;REF;785;1358.94;0;121;329;117;
2348;42.706;1.606;REF;REF;791.81;1429.06;0;123;321;112;
2349;42.7066;1.7034;REF;REF;767.52;1682.16;0.13;106;309;117;
2350;42.7071;1.8008;REF;REF;699.09;2223.26;1.7;77;294;125;
2351;42.7076;1.8982;REF;REF;715.83;2081.14;1;81;300;125;
2352;42.7079;1.9956;REF;REF;783.74;1474.8;0.03;117;322;116;
2353;42.7082;2.093;REF;REF;524.7;2153.42;1.13;78;301;124;
2354;42.7084;2.1905;REF;REF;663.62;1894.48;0.47;88;308;121;
2355;42.7085;2.2879;REF;REF;654.74;2132.28;0.7;80;291;125;
2356;42.7085;2.3853;REF;REF;497.15;2697.96;2.23;55;274;139;
2357;42.7084;2.4827;REF;REF;448.4;3239.68;7;43;253;150;
2358;42.7082;2.5801;REF;REF;406.57;3637.93;11.2;35;239;152;
2359;42.7079;2.6775;REF;REF;383.06;3979.59;16.77;31;231;155;
2360;42.7076;2.775;REF;REF;372.72;4229.92;16.3;27;230;171;
2361;42.7071;2.8724;REF;REF;364.17;4324.41;18.57;26;229;173;
2362;42.7066;2.9698;REF;REF;359.85;4371.91;20.1;25;229;172;
2363;42.706;3.0672;REF;REF;357.4;4398.35;20.6;25;0;0;
2421;42.5178;8.7036;REF;REF;370.33;4258.21;12.1;24;211;199;
2422;42.512;8.8003;REF;REF;369.69;4265.21;12.23;24;211;199;
2423;42.506;8.8971;REF;REF;468.8;3104.13;1.27;43;245;165;
2424;42.5;8.9938;REF;REF;585.56;2632.33;0.97;59;273;146;
2425;42.4939;9.0905;REF;REF;508.65;3311.12;6.97;41;261;153;
2426;42.4877;9.1872;REF;REF;416.9;3751.3;13.87;33;253;160;
2427;42.4814;9.2839;REF;REF;433.39;3600.39;10.5;35;251;156;
2428;42.475;9.3805;REF;REF;552.58;3543.91;7.1;36;248;167;
2429;42.4685;9.4772;REF;REF;473.57;4261.52;13.57;25;215;197;
2430;42.4619;9.5738;REF;REF;443.19;4588.3;14.57;21;0;0;
2473;42.7513;-0.1499;REF;REF;966.96;860.42;0;156;0;0;
2474;42.7535;-0.0524;REF;REF;893.45;1135.75;0;135;339;105;
2475;42.7557;0.045;REF;REF;859.54;1320.13;0;121;330;116;
2476;42.7577;0.1425;REF;REF;933.63;977.57;0;147;342;89;
2477;42.7597;0.24;REF;REF;895.39;1260.11;0;127;331;116;
2478;42.7616;0.3374;REF;REF;890.31;1306.07;0;124;329;117;
2479;42.7634;0.4349;REF;REF;704.08;1398.75;0;116;329;115;
2480;42.765;0.5324;REF;REF;808.77;1752.55;0.3;95;322;121;
2481;42.7667;0.6299;REF;REF;760.83;2132.39;1.07;77;315;126;
2484;42.7709;0.9224;REF;REF;1092.12;962.85;0;147;340;87;
2485;42.7722;1.0199;REF;REF;1036.94;1116.13;0;137;0;0;
2486;42.7733;1.1174;REF;REF;984.2;1414.67;0;116;328;118;
2487;42.7744;1.2149;REF;REF;900.97;2148.59;1.8;80;298;125;
2488;42.7754;1.3125;REF;REF;894.54;2141.95;1.77;80;298;124;
2489;42.7763;1.41;REF;REF;956.06;1708.77;0.23;104;311;117;
2490;42.7771;1.5075;REF;REF;705.83;2348.54;2.67;72;288;134;
2491;42.7778;1.6051;REF;REF;682.28;2543.67;3.07;64;284;138;
2492;42.7784;1.7026;REF;REF;655.14;2746.13;4.13;58;281;140;
2493;42.779;1.8001;REF;REF;695.24;2257.34;1.93;76;292;127;
2494;42.7794;1.8977;REF;REF;729.3;1965.76;0.63;87;305;120;
2495;42.7798;1.9952;REF;REF;633.41;2027.69;0.57;83;301;126;
2496;42.78;2.0927;REF;REF;600.76;2494.4;2.33;64;276;136;
2497;42.7802;2.1903;REF;REF;580.26;2679.62;3.03;58;269;141;
2498;42.7803;2.2878;REF;REF;581.96;2716.67;3.27;55;268;139;
2499;42.7803;2.3854;REF;REF;456.17;3102.7;5.57;45;261;144;
2500;42.7802;2.4829;REF;REF;412.02;3596.53;10.87;36;240;151;
2501;42.78;2.5804;REF;REF;379.74;3830.12;14.17;33;236;155;
2502;42.7798;2.678;REF;REF;371.93;4044.37;17.5;30;230;164;
2503;42.7794;2.7755;REF;REF;375.33;4113.5;13.97;28;224;174;
2504;42.779;2.873;REF;REF;360.73;4337.6;18.37;26;224;175;
2505;42.7784;2.9706;REF;REF;356.3;4386.78;19.9;25;224;175;
2506;42.7778;3.0681;REF;REF;354.17;4274.06;20.87;27;0;0;
2564;42.5894;8.7114;REF;REF;343.39;4564.08;16.3;21;0;0;
2565;42.5835;8.8083;REF;REF;352.11;4465.72;14.63;22;208;199;
2566;42.5776;8.9052;REF;REF;393.85;4099.04;10.47;27;220;193;
2567;42.5716;9.002;REF;REF;431.26;3660.58;4.93;33;236;187;
2568;42.5654;9.0989;REF;REF;427.23;3685.01;5.3;32;230;183;
2569;42.5592;9.1957;REF;REF;471.33;3186.57;1.47;42;249;173;
2570;42.5529;9.2925;REF;REF;501.99;3300.93;2.07;39;246;171;
2571;42.5465;9.3892;REF;REF;535.6;3671.13;8.33;34;245;175;
2572;42.54;9.486;REF;REF;444.88;4560.74;14;21;208;207;
2611;42.8106;-0.6407;REF;REF;1105.98;1286.13;0;124;0;0;
2612;42.8133;-0.5431;REF;REF;916.46;1560.54;0;107;324;122;
2613;42.8159;-0.4456;REF;REF;965.6;1251.04;0;128;333;108;
2614;42.8184;-0.3481;REF;REF;991.72;1145.96;0;134;337;105;
2615;42.8208;-0.2505;REF;REF;1003.14;797.25;0;163;347;73;
2616;42.8231;-0.1529;REF;REF;941.46;984.12;0;147;344;86;
2617;42.8254;-0.0554;REF;REF;898.86;1099.05;0;138;339;105;
2618;42.8275;0.0422;REF;REF;739.25;1360.35;0;118;329;112;
2619;42.8296;0.1398;REF;REF;843.76;787.72;0;163;348;76;
2620;42.8315;0.2374;REF;REF;769.97;1266.58;0;127;332;116;
2621;42.8334;0.335;REF;REF;615.96;2254.64;1.07;72;299;129;
2622;42.8352;0.4326;REF;REF;666.4;1921.81;0.37;91;305;123;
2623;42.8369;0.5302;REF;REF;821.08;1945.44;0.9;92;305;117;
2624;42.8385;0.6278;REF;REF;779.74;2234.07;2.23;79;295;123;
2625;42.84;0.7254;REF;REF;757.07;2402.74;3.2;70;0;0;
2626;42.8414;0.823;REF;REF;847.15;1662.4;0.17;102;321;117;
2627;42.8428;0.9206;REF;REF;954.08;1809.7;0.37;92;317;119;
2628;42.844;1.0183;REF;REF;899.41;2163.75;2.07;78;301;122;
2629;42.8452;1.1159;REF;REF;931.73;1964.24;0.83;87;305;122;
2630;42.8463;1.2136;REF;REF;783.08;2816.73;5.5;56;280;137;
2631;42.8472;1.3112;REF;REF;830.73;2540.19;3.87;64;284;133;
2632;42.8481;1.4088;REF;REF;900.17;2105.11;1.57;82;299;123;
2633;42.8489;1.5065;REF;REF;705.72;2352.18;2.73;72;288;134;
2634;42.8497;1.6041;REF;REF;617.06;3096.19;7.43;49;261;140;
2635;42.8503;1.7018;REF;REF;728.96;2180.57;1.8;78;302;126;
2636;42.8508;1.7995;REF;REF;740.53;2069.08;1.37;83;302;122;
2637;42.8513;1.8971;REF;REF;670.66;2657.2;4.3;60;282;135;
2638;42.8516;1.9948;REF;REF;583.85;2649.43;3.23;59;277;139;
2639;42.8519;2.0924;REF;REF;570.84;2741.76;3.63;54;276;139;
2640;42.8521;2.1901;REF;REF;517.96;3229.3;7.83;43;262;147;
2641;42.8522;2.2877;REF;REF;541.83;2998.88;5.33;48;266;143;
2642;42.8522;2.3854;REF;REF;523.26;3043.61;5.33;47;262;145;
2643;42.8521;2.4831;REF;REF;499.18;3295.76;7.6;41;250;147;
2644;42.8519;2.5807;REF;REF;473.73;3476.39;9.37;38;240;149;
2645;42.8516;2.6784;REF;REF;463.27;3695.21;12.43;35;234;154;
2646;42.8513;2.776;REF;REF;388.74;3957.88;11.63;30;228;171;
2647;42.8508;2.8737;REF;REF;379.38;4130.37;13.8;28;224;174;
2648;42.8503;2.9714;REF;REF;365.21;4288.52;17.17;26;224;172;
2649;42.8497;3.069;REF;REF;355.48;4395.64;20.1;25;0;0;
2709;42.6492;8.9133;REF;REF;354.99;4539.1;15.93;21;0;0;
2710;42.6431;9.0103;REF;REF;360.4;4477.44;14.93;22;0;0;
2711;42.637;9.1072;REF;REF;378.47;4277.17;12.27;24;208;195;
2712;42.6308;9.2042;REF;REF;468.19;3620.51;5.07;33;233;181;
2713;42.6245;9.3011;REF;REF;403.56;4289.3;11.8;24;206;197;
2714;42.6181;9.398;REF;REF;502.87;3956.78;8.7;29;227;195;
2715;42.6116;9.4948;REF;REF;442.35;4585.35;14.07;21;0;0;
2753;42.8797;-0.742;REF;REF;1070.88;1464.19;0;113;0;0;
2754;42.8824;-0.6444;REF;REF;1021.24;1713.86;0.03;94;322;122;
2755;42.8851;-0.5467;REF;REF;985.76;1885.59;0.07;85;317;125;
2756;42.8877;-0.4491;REF;REF;1039.24;1549.38;0;107;324;122;
2757;42.8902;-0.3514;REF;REF;986.55;1158.79;0;133;336;105;
2758;42.8926;-0.2537;REF;REF;879.53;1352.3;0;120;332;108;
2759;42.895;-0.156;REF;REF;738.75;1439.42;0;115;329;110;
2760;42.8972;-0.0584;REF;REF;679.56;1958.91;0.5;87;306;124;
2761;42.8993;0.0393;REF;REF;736.48;1552.5;0;105;324;115;
2762;42.9014;0.137;REF;REF;818.39;1068.23;0;140;340;97;
2763;42.9034;0.2348;REF;REF;779.04;1301.17;0;125;331;109;
2764;42.9052;0.3325;REF;REF;613.1;2295.54;1.37;70;306;131;
2765;42.907;0.4302;REF;REF;673.37;1999.56;1.13;84;308;121;
2766;42.9087;0.5279;REF;REF;657.63;2198.2;2.17;77;303;124;
2767;42.9103;0.6257;REF;REF;591.81;2526.04;2.97;64;281;135;
2768;42.9118;0.7234;REF;REF;740.72;2490.33;3.8;67;290;126;
2769;42.9133;0.8211;REF;REF;761.84;2300.08;2.43;73;305;127;
2770;42.9146;0.9189;REF;REF;826.32;2581.24;3.27;61;297;135;
2771;42.9159;1.0166;REF;REF;775.81;2867.01;6.47;54;273;134;
2772;42.917;1.1144;REF;REF;827.24;2681.55;5.4;56;286;130;
2773;42.9181;1.2122;REF;REF;769.36;2949.48;7.43;50;279;132;
2774;42.9191;1.3099;REF;REF;816.46;2731.28;5.8;58;286;128;
2775;42.92;1.4077;REF;REF;848.01;2476.63;4.13;66;287;129;
2776;42.9208;1.5055;REF;REF;732.68;2446.19;2.37;65;286;134;
2777;42.9215;1.6032;REF;REF;667.45;2854.1;4.53;51;270;140;
2778;42.9221;1.701;REF;REF;651.46;2966.99;5.43;48;268;140;
2779;42.9227;1.7988;REF;REF;590.92;2939.29;4.3;48;266;141;
2780;42.9231;1.8966;REF;REF;563.91;3090.94;5.97;45;261;143;
2781;42.9235;1.9943;REF;REF;530.12;3140.7;7.07;45;262;144;
2782;42.9237;2.0921;REF;REF;513.68;3277.72;8.33;43;259;147;
2783;42.9239;2.1899;REF;REF;482.05;3588.01;11.87;37;244;154;
2784;42.924;2.2877;REF;REF;486.87;3537.6;11.4;38;248;153;
2785;42.924;2.3855;REF;REF;526.06;3180.76;7.37;44;261;146;
2786;42.9239;2.4833;REF;REF;521.41;3076.45;5.3;46;260;143;
2787;42.9237;2.581;REF;REF;501.7;3273.52;7.3;42;252;147;
