#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h38 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORRRA : cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     NORSTM0 : somme de tempÃ©rature base 0Â°C d'octobre (annÃ©e-1) Ã  juillet (annÃ©e) (Â°C)
#     NORSDA : nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     NORDATEVEG : date de reprise de vÃ©gÃ©tation en jour julien (date)
#     NORDATEDG : Date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     NORDATEPG : Date de premiÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#     ARRA : Ecart de cumul de prÃ©cipitations d'avril Ã  octobre (mm)
#     ASDA : Ecart de nombre de jours d'Ã©tÃ© d'avril Ã  juin (jour(s))
#     ADATEVEG : Ecart de date de reprise de vÃ©gÃ©tation en jour julien (date)
#     ADATEDG : Ecart de date de derniÃ¨re gelÃ©e avec 1er juillet comme rÃ©fÃ©rence (date)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;NORRRA;NORSTM0;NORSDA;NORDATEVEG;NORDATEDG;NORDATEPG;ARRA;ASDA;ADATEVEG;ADATEDG;
#-----------------------------------------------------------------------------
1929;42.4927;2.5792;RCP4.5;H1;777.01;3164.97;6.1;44;263;155;12.56;3.8;-5;-7;
1930;42.4924;2.6763;RCP4.5;H1;640.35;4096.17;17.13;27;229;190;11.32;6.1;-4;-3;
1931;42.4921;2.7733;RCP4.5;H1;466.6;4309.73;20.57;25;232;186;22.73;7.1;-3;5;
1932;42.4916;2.8704;RCP4.5;H1;489.52;4113.72;17.83;27;232;180;25.57;6.73;-4;5;
1933;42.4911;2.9674;RCP4.5;H1;533.8;3772.36;7.2;29;235;180;15.39;3.4;-6;8;
1934;42.4905;3.0645;RCP4.5;H1;472.91;4281.73;11.37;24;219;196;17.48;4.37;-4;-4;
1992;42.303;8.6801;RCP4.5;H1;408.68;4406.25;17.9;23;233;204;6.72;6.37;-3;6;
1993;42.2972;8.7765;RCP4.5;H1;525.08;3279.93;5.03;43;250;170;8.1;2.43;-10;-13;
1994;42.2913;8.8729;RCP4.5;H1;592.81;2469;0.4;70;270;153;2.41;0;-14;-10;
1995;42.2853;8.9693;RCP4.5;H1;579.29;2486.8;0.33;75;277;155;-23.68;0;-14;-7;
1996;42.2792;9.0656;RCP4.5;H1;535.87;2586.89;0.4;65;269;154;-51.04;0.33;-10;-10;
1997;42.273;9.162;RCP4.5;H1;407.68;3545.94;8.97;37;248;175;-44.11;4.64;-8;-7;
1998;42.2667;9.2583;RCP4.5;H1;534.32;3979.55;17.3;29;242;176;1.69;6.5;-5;-6;
1999;42.2604;9.3546;RCP4.5;H1;535.49;3742.6;11.77;33;252;177;-25.93;5.34;-6;-6;
2000;42.2539;9.4509;RCP4.5;H1;524.29;4151.02;16.3;26;234;194;15.21;5.57;-4;-9;
2061;42.5616;1.5106;RCP4.5;H1;645.68;1923.1;0.1;92;312;128;28.77;0;-11;-8;
2062;42.5623;1.6078;RCP4.5;H1;686.86;1519.28;0;117;320;121;26.76;0;-10;-9;
2063;42.5629;1.7049;RCP4.5;H1;745.1;1197.1;0;137;330;112;45.83;0;-11;-10;
2064;42.5634;1.8021;RCP4.5;H1;563.46;1477.96;0.03;120;322;120;11.32;0;-11;-7;
2065;42.5639;1.8993;RCP4.5;H1;583.95;1166.54;0;141;326;111;7.03;0;-11;-12;
2066;42.5642;1.9965;RCP4.5;H1;579.3;1431.16;0.03;124;317;115;14.18;0;-15;-13;
2067;42.5645;2.0936;RCP4.5;H1;517.38;1919.95;0.33;100;299;126;-0.04;0.16;-13;-12;
2068;42.5647;2.1908;RCP4.5;H1;552.92;2227.91;0.83;80;287;134;11.43;0.6;-13;-9;
2069;42.5648;2.288;RCP4.5;H1;484.5;3057.49;5.87;48;262;153;11.69;2.97;-8;-9;
2070;42.5648;2.3852;RCP4.5;H1;479.22;3460.47;10.73;37;252;159;29.29;4.66;-6;-5;
2071;42.5647;2.4823;RCP4.5;H1;525.43;2895.78;5.23;51;273;149;28.98;3.06;-8;-7;
2072;42.5645;2.5795;RCP4.5;H1;572.14;3405.38;8.07;36;248;164;34.06;4.4;-7;-7;
2073;42.5642;2.6767;RCP4.5;H1;506.09;3971.7;15.07;28;230;179;31.19;5.47;-5;2;
2074;42.5639;2.7739;RCP4.5;H1;451.79;4400.07;22.93;25;229;182;24.2;7.36;-3;2;
2075;42.5634;2.8711;RCP4.5;H1;398.29;4548.15;24.23;24;227;183;25.13;7.06;-2;2;
2076;42.5629;2.9682;RCP4.5;H1;391.45;4621.43;25.83;23;228;183;24.9;7.06;-3;0;
2135;42.3746;8.6879;RCP4.5;H1;397.42;4173.4;12.67;25;234;197;8.09;4.7;-4;5;
2136;42.3688;8.7844;RCP4.5;H1;461.51;3769.69;16.17;32;250;167;-14.19;6.94;-7;-7;
2137;42.3629;8.8809;RCP4.5;H1;594.43;2449.78;0.37;71;270;153;2.7;0;-14;-10;
2138;42.3568;8.9774;RCP4.5;H1;581.41;2450.22;0.33;77;277;154;-25.55;0;-14;-8;
2139;42.3507;9.0739;RCP4.5;H1;505.91;2946.3;1.9;53;264;161;-48.1;1.33;-9;-9;
2140;42.3446;9.1704;RCP4.5;H1;389.48;3770.79;14.4;33;249;176;-41.93;5.77;-8;-3;
2141;42.3383;9.2668;RCP4.5;H1;614.04;3356.96;5.07;40;250;170;1.28;2.74;-8;-11;
2142;42.3319;9.3632;RCP4.5;H1;630.24;3189.02;3.3;45;250;168;1.29;2.13;-7;-14;
2143;42.3254;9.4596;RCP4.5;H1;582.15;3900.94;14.13;30;237;183;22.83;6.26;-5;-10;
2203;42.6326;1.4123;RCP4.5;H1;844.91;1080.28;0;145;329;108;-12.21;0;-10;-11;
2204;42.6334;1.5096;RCP4.5;H1;733.32;1196.51;0;138;327;112;33.39;0;-10;-12;
