#-----------------------------------------------------------------------------
# Date d'extraction : 31/03/2025 - 09h25 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP4.5 : Emissions modÃ©rÃ©es
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : saisonnier
                  (1 - hiver, 2 - printemps, 3 - Ã©tÃ©, 4 - automne)
#-----------------------------------------------------------------------------
# Indices : 
#     NORTAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     NORTXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     ATAV : Ecart de tempÃ©rature moyenne journaliÃ¨re (Â°C)
#     ATXAV : Ecart de tempÃ©rature maximale journaliÃ¨re (Â°C)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;PÃ©riode;Saison;NORTAV;NORTXAV;ATAV;ATXAV;
#-----------------------------------------------------------------------------
1715;42.1044;9.5295;RCP4.5;H1;3;25.01;28.55;1.37;1.32;
1779;42.4202;1.9004;RCP4.5;H1;3;19.27;23.97;0;0;
1780;42.4206;1.9973;RCP4.5;H1;3;17.51;21.64;1.72;1.84;
1781;42.4208;2.0942;RCP4.5;H1;3;12.69;15.14;1.66;1.68;
1782;42.421;2.1912;RCP4.5;H1;3;10.67;12.64;1.26;1.33;
1783;42.4211;2.2881;RCP4.5;H1;3;12.11;14.33;0;0;
1784;42.4211;2.3851;RCP4.5;H1;3;14.93;17.5;1.36;1.45;
1785;42.421;2.482;RCP4.5;H1;3;18.61;22.08;1.33;1.43;
1786;42.4209;2.5789;RCP4.5;H1;3;20.9;24.75;1.32;1.43;
1787;42.4206;2.6759;RCP4.5;H1;3;20.14;23.9;1.35;1.46;
1788;42.4202;2.7728;RCP4.5;H1;3;21.3;25.13;1.43;1.48;
1789;42.4198;2.8697;RCP4.5;H1;3;23.18;27.11;0;0;
1791;42.4186;3.0636;RCP4.5;H1;3;22.99;25.61;0;0;
1792;42.4179;3.1605;RCP4.5;H1;3;23.8;26.19;0;0;
1848;42.2372;8.576;RCP4.5;H1;3;23.47;27.44;0;0;
1849;42.2315;8.6723;RCP4.5;H1;3;22.44;26.08;1.56;1.63;
1850;42.2256;8.7686;RCP4.5;H1;3;22.23;25.74;1.69;1.84;
1851;42.2197;8.8649;RCP4.5;H1;3;20.75;23.65;1.73;1.84;
1852;42.2137;8.9611;RCP4.5;H1;3;17.19;19.69;1.58;1.61;
1853;42.2076;9.0574;RCP4.5;H1;3;15.38;17.47;1.56;1.56;
1854;42.2015;9.1536;RCP4.5;H1;3;20;23.42;1.73;1.77;
1855;42.1952;9.2498;RCP4.5;H1;3;22.73;27.26;1.72;1.95;
1856;42.1889;9.346;RCP4.5;H1;3;23.8;27.73;1.59;1.72;
1857;42.1824;9.4421;RCP4.5;H1;3;24.27;27.78;1.3;1.31;
1858;42.1759;9.5383;RCP4.5;H1;3;24.7;27.91;0;0;
1918;42.4897;1.5116;RCP4.5;H1;3;16.03;20.29;1.68;1.8;
1919;42.4905;1.6087;RCP4.5;H1;3;11.57;14.09;1.57;1.61;
1920;42.4911;1.7057;RCP4.5;H1;3;10.64;13;1.56;1.64;
1921;42.4916;1.8028;RCP4.5;H1;3;12.28;14.83;1.48;1.54;
1922;42.4921;1.8998;RCP4.5;H1;3;14.79;17.99;1.52;1.61;
1923;42.4924;1.9969;RCP4.5;H1;3;16.21;20;1.64;1.82;
1924;42.4927;2.0939;RCP4.5;H1;3;15.14;18.56;1.44;1.58;
1925;42.4929;2.191;RCP4.5;H1;3;14.78;17.7;1.43;1.57;
1926;42.4929;2.2881;RCP4.5;H1;3;14.71;17.52;1.46;1.52;
1927;42.4929;2.3851;RCP4.5;H1;3;15.2;18.26;1.39;1.53;
1928;42.4929;2.4822;RCP4.5;H1;3;13.22;15.41;1.33;1.36;
1929;42.4927;2.5792;RCP4.5;H1;3;19.42;23.03;1.39;1.48;
1930;42.4924;2.6763;RCP4.5;H1;3;22.58;26.64;1.25;1.37;
1931;42.4921;2.7733;RCP4.5;H1;3;23.44;27.38;1.34;1.35;
1932;42.4916;2.8704;RCP4.5;H1;3;22.74;26.63;1.32;1.39;
1933;42.4911;2.9674;RCP4.5;H1;3;21.38;24.04;1.36;1.32;
1934;42.4905;3.0645;RCP4.5;H1;3;22.93;25.55;1.3;1.22;
1935;42.4898;3.1615;RCP4.5;H1;3;24.06;26.44;0;0;
1991;42.3088;8.5836;RCP4.5;H1;3;23.55;27.54;0;0;
1992;42.303;8.6801;RCP4.5;H1;3;23.3;27.19;1.32;1.29;
1993;42.2972;8.7765;RCP4.5;H1;3;20.2;23.76;1.64;1.69;
1994;42.2913;8.8729;RCP4.5;H1;3;17.22;19.75;1.53;1.58;
1995;42.2853;8.9693;RCP4.5;H1;3;17.17;19.66;1.55;1.58;
1996;42.2792;9.0656;RCP4.5;H1;3;17.92;20.55;1.75;1.78;
1997;42.273;9.162;RCP4.5;H1;3;21.57;25.13;1.83;1.94;
1998;42.2667;9.2583;RCP4.5;H1;3;22.96;27.45;1.72;1.9;
1999;42.2604;9.3546;RCP4.5;H1;3;22.22;26.31;1.71;1.91;
2000;42.2539;9.4509;RCP4.5;H1;3;23.24;27.42;1.55;1.67;
2001;42.2474;9.5471;RCP4.5;H1;3;24.69;27.9;0;0;
2061;42.5616;1.5106;RCP4.5;H1;3;14.93;18.73;1.47;1.6;
2062;42.5623;1.6078;RCP4.5;H1;3;13.16;16.21;1.44;1.54;
2063;42.5629;1.7049;RCP4.5;H1;3;11.72;14.33;1.54;1.62;
2064;42.5634;1.8021;RCP4.5;H1;3;12.86;15.58;1.51;1.58;
2065;42.5639;1.8993;RCP4.5;H1;3;11.21;13.48;1.42;1.46;
2066;42.5642;1.9965;RCP4.5;H1;3;12.63;15.29;1.62;1.73;
2067;42.5645;2.0936;RCP4.5;H1;3;14.63;18.05;1.47;1.63;
2068;42.5647;2.1908;RCP4.5;H1;3;15.81;19.08;1.44;1.6;
2069;42.5648;2.288;RCP4.5;H1;3;19.04;22.95;1.39;1.5;
2070;42.5648;2.3852;RCP4.5;H1;3;20.4;24.56;1.27;1.37;
2071;42.5647;2.4823;RCP4.5;H1;3;18.48;22.31;1.33;1.43;
2072;42.5645;2.5795;RCP4.5;H1;3;20.24;23.68;1.36;1.41;
2073;42.5642;2.6767;RCP4.5;H1;3;22.19;26.02;1.27;1.37;
2074;42.5639;2.7739;RCP4.5;H1;3;23.7;27.68;1.25;1.3;
2075;42.5634;2.8711;RCP4.5;H1;3;24.32;28.02;1.23;1.26;
2076;42.5629;2.9682;RCP4.5;H1;3;24.58;28.35;1.23;1.26;
2077;42.5623;3.0654;RCP4.5;H1;3;24.12;26.54;0;0;
2134;42.3804;8.5913;RCP4.5;H1;3;23.85;27.11;0;0;
2135;42.3746;8.6879;RCP4.5;H1;3;22.6;25.79;1.27;1.19;
2136;42.3688;8.7844;RCP4.5;H1;3;21.99;26.58;1.63;1.71;
2137;42.3629;8.8809;RCP4.5;H1;3;17.15;19.65;1.53;1.57;
2138;42.3568;8.9774;RCP4.5;H1;3;17.02;19.47;1.55;1.57;
2139;42.3507;9.0739;RCP4.5;H1;3;19.28;22.36;1.8;1.84;
2140;42.3446;9.1704;RCP4.5;H1;3;22.34;26.53;1.79;1.96;
2141;42.3383;9.2668;RCP4.5;H1;3;20.99;24.14;1.88;1.97;
2142;42.3319;9.3632;RCP4.5;H1;3;20.38;23.28;1.86;1.93;
2143;42.3254;9.4596;RCP4.5;H1;3;22.53;26.51;1.57;1.78;
2144;42.3189;9.556;RCP4.5;H1;3;24.62;27.91;0;0;
2203;42.6326;1.4123;RCP4.5;H1;3;10.79;13.12;1.39;1.53;
2204;42.6334;1.5096;RCP4.5;H1;3;11.52;14.1;1.38;1.46;
2205;42.6341;1.6069;RCP4.5;H1;3;11.17;13.45;1.56;1.61;
2206;42.6347;1.7042;RCP4.5;H1;3;11.69;14.08;1.58;1.64;
2207;42.6353;1.8014;RCP4.5;H1;3;13.46;16.44;1.41;1.49;
2208;42.6357;1.8987;RCP4.5;H1;3;11.95;14.44;1.37;1.42;
2209;42.6361;1.996;RCP4.5;H1;3;12;14.46;1.53;1.58;
2210;42.6363;2.0933;RCP4.5;H1;3;14.92;18.48;1.32;1.45;
2211;42.6365;2.1906;RCP4.5;H1;3;12.58;14.98;1.3;1.35;
2212;42.6366;2.2879;RCP4.5;H1;3;16.94;20.41;1.29;1.36;
2213;42.6366;2.3852;RCP4.5;H1;3;21.05;25.33;1.27;1.33;
2214;42.6365;2.4825;RCP4.5;H1;3;22.29;26.12;1.23;1.31;
2215;42.6363;2.5798;RCP4.5;H1;3;22.62;26.42;1.31;1.3;
